date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2017-03-31,SPTO,IDR,2017,Q1,521542534919,128664065538,50923902948
2017-06-30,SPTO,IDR,2017,Q2,521542534919,128664065538,50923902948
2017-09-30,SPTO,IDR,2017,Q3,509262160554,117458127571,45064058696
2017-12-31,SPTO,IDR,2017,Q4,589454237982,134884164058,78518532570
2018-03-31,SPTO,IDR,2018,Q1,616318185721,143977308828,56543370529
2018-06-30,SPTO,IDR,2018,Q2,467790806071,172047764601,44198089319
2018-09-30,SPTO,IDR,2018,Q3,556690803408,83582676298,47429751336
2018-12-31,SPTO,IDR,2018,Q4,627291367930,160439350876,57862287728
2019-03-31,SPTO,IDR,2019,Q1,578912185880,156106644931,62356404870
2019-06-30,SPTO,IDR,2019,Q2,460588625189,114734545806,38379748820
2019-09-30,SPTO,IDR,2019,Q3,570381960057,141745892743,53386907338
2019-12-31,SPTO,IDR,2019,Q4,656360038278,-18122050425,54554699555
2020-03-31,SPTO,IDR,2020,Q1,542048587033,143483420041,41040058500
2020-06-30,SPTO,IDR,2020,Q2,313727999685,91640011159,-3771585547
2020-09-30,SPTO,IDR,2020,Q3,491673403865,135682754162,34229969051
2020-12-31,SPTO,IDR,2020,Q4,563539909054,167038015065,43820358333
2021-03-31,SPTO,IDR,2021,Q1,556474608758,171810978612,51440837281
2021-06-30,SPTO,IDR,2021,Q2,474945874491,139193465630,38411011719
2021-09-30,SPTO,IDR,2021,Q3,551450516064,90481847,39905174422
2021-12-31,SPTO,IDR,2021,Q4,655665055801,326172542065,67265782252
2022-03-31,SPTO,IDR,2022,Q1,671619778364,185947823000,50934898200
2022-06-30,SPTO,IDR,2022,Q2,519593280127,134738253568,28795576366
2022-09-30,SPTO,IDR,2022,Q3,629003582997,170144620133,50141342132
2022-12-31,SPTO,IDR,2022,Q4,685428236884,196193701859,76806967458
2023-03-31,SPTO,IDR,2023,Q1,687754541974,204577796002,58312549313
2023-06-30,SPTO,IDR,2023,Q2,537538527668,158029853350,36328879362
2023-09-30,SPTO,IDR,2023,Q3,637216074702,179266998614,55186576233
2023-12-31,SPTO,IDR,2023,Q4,742979794814,199587484475,104873428000
2024-03-31,SPTO,IDR,2024,Q1,719603111877,204668723596,55740891770
2024-06-30,SPTO,IDR,2024,Q2,645873070016,188593869469,59457727412
2024-09-30,SPTO,IDR,2024,Q3,743342947000,222395166000,81070884000
2024-12-31,SPTO,IDR,2024,Q4,806425639000,226674260000,90989556000
2025-03-31,SPTO,IDR,2025,Q1,714698351000,210625480000,60650757000
2025-06-30,SPTO,IDR,2025,Q2,611635284000,182654927000,46958457000
2025-09-30,SPTO,IDR,2025,Q3,677641655000,199293990000,64399395000
2025-12-31,SPTO,IDR,2025,Q4,775377495000,212140938000,98886948000
2026-03-31,SPTO,IDR,2026,Q1,628455519000,174249876000,32341375000
