date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2021-03-31,STAA,IDR,2021,Q1,1131921000000,441788000000,169669000000
2021-06-30,STAA,IDR,2021,Q2,1402265000000,551796000000,188529000000
2021-09-30,STAA,IDR,2021,Q3,1645553000000,646376000000,327561000000
2021-12-31,STAA,IDR,2021,Q4,1704181000000,631270000000,391463000000
2022-03-31,STAA,IDR,2022,Q1,1633669000000,647362000000,432388000000
2022-06-30,STAA,IDR,2022,Q2,1351647000000,452147000000,199867000000
2022-09-30,STAA,IDR,2022,Q3,1418219000000,451779000000,244436000000
2022-12-31,STAA,IDR,2022,Q4,1641913000000,494180000000,235891000000
2023-03-31,STAA,IDR,2023,Q1,1163390000000,263716000000,143552000000
2023-06-30,STAA,IDR,2023,Q2,1175560000000,219526000000,77071000000
2023-09-30,STAA,IDR,2023,Q3,1505372000000,511277000000,267968000000
2023-12-31,STAA,IDR,2023,Q4,1440879000000,413497000000,193289000000
2024-03-31,STAA,IDR,2024,Q1,1276635000000,369854000000,197587000000
2024-06-30,STAA,IDR,2024,Q2,1417923000000,433078000000,225691000000
2024-09-30,STAA,IDR,2024,Q3,1725214000000,631599000000,407749000000
2024-12-31,STAA,IDR,2024,Q4,2019702000000,747378000000,451196000000
2025-03-31,STAA,IDR,2025,Q1,1666335000000,573725000000,304708000000
2025-06-30,STAA,IDR,2025,Q2,1923499000000,598915000000,352021000000
2025-09-30,STAA,IDR,2025,Q3,2971685000000,1021826000000,520001000000
2025-12-31,STAA,IDR,2025,Q4,3107636000000,963161000000,429550000000
2026-03-31,STAA,IDR,2026,Q1,2485663000000,737371000000,293704000000
