date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-03-31,SULI,USD,2011,Q1,10995853,-1469765,-5508210.352733
2011-06-30,SULI,USD,2011,Q2,8880526,-1225111,-8354036.867562
2011-09-30,SULI,USD,2011,Q3,11129268,-1554511,-9438255.130244
2011-12-31,SULI,USD,2011,Q4,14118022,-407451,-11458997.760734
2012-03-31,SULI,USD,2012,Q1,9849636,283984,-5620143.720288
2012-06-30,SULI,USD,2012,Q2,9873717,25659,-9667912.528788
2012-09-30,SULI,USD,2012,Q3,7031311,-270118,-7287982.684464
2012-12-31,SULI,USD,2012,Q4,4611631,841158,6980244
2013-03-31,SULI,USD,2013,Q1,3698565,694407,1736903
2013-06-30,SULI,USD,2013,Q2,3710110,922442,-2909123.682874
2013-09-30,SULI,USD,2013,Q3,2718525,-39625,-13718058.472283
2013-12-31,SULI,USD,2013,Q4,4426264,833338,-11774668.81566
2014-03-31,SULI,USD,2014,Q1,7234154,463752,3290852
2014-06-30,SULI,USD,2014,Q2,9791041,938644,-5683800.301575
2014-09-30,SULI,USD,2014,Q3,11717431,7313106,-1451792.999695
2014-12-31,SULI,USD,2014,Q4,13975259,-4828805,4288468
2015-03-31,SULI,USD,2015,Q1,15244053,2555745,-2777243.698972
2015-06-30,SULI,USD,2015,Q2,17176946,1641255,-1858581.302187
2015-09-30,SULI,USD,2015,Q3,10021769,3708880,-2906753.997936
2015-12-31,SULI,USD,2015,Q4,21841495,3218088,7853140
2016-03-31,SULI,USD,2016,Q1,19024942,4600845,1917888
2016-06-30,SULI,USD,2016,Q2,19305293,3377788,-515628
2016-09-30,SULI,USD,2016,Q3,18006123,8378722,-378546
2016-12-31,SULI,USD,2016,Q4,17380646,-3307444,-639430
2017-03-31,SULI,USD,2017,Q1,17223589,2367501,1454094
2017-06-30,SULI,USD,2017,Q2,14629019,413585,-254342
2017-09-30,SULI,USD,2017,Q3,16129279,1751136,610787
2017-12-31,SULI,USD,2017,Q4,17938129,2618915,-463421
2018-03-31,SULI,USD,2018,Q1,21385523,4085562,2026469
2018-06-30,SULI,USD,2018,Q2,22652234,3770226,-395050
2018-09-30,SULI,USD,2018,Q3,27836892,5155380,2676677
2018-12-31,SULI,USD,2018,Q4,21974730,1743993,-1040977
2019-03-31,SULI,USD,2019,Q1,19500579,1582725,-2347098
2019-06-30,SULI,USD,2019,Q2,14292574,-1073702,-5365523
2019-09-30,SULI,USD,2019,Q3,17416909,1531050,-379555
2019-12-31,SULI,USD,2019,Q4,14713640,235620,-1160729
2020-03-31,SULI,USD,2020,Q1,12302826,-1742712,-5148089
2020-06-30,SULI,USD,2020,Q2,15166894,-645576,-4379823
2020-09-30,SULI,USD,2020,Q3,12877288,-286503,-3061563
2020-12-31,SULI,USD,2020,Q4,12177451,-398073,-8467053
2021-03-31,SULI,USD,2021,Q1,8187192,-414078,-2959041
2021-06-30,SULI,USD,2021,Q2,13401232,407066,-2510220
2021-09-30,SULI,USD,2021,Q3,21655786,2443846,6082568
2021-12-31,SULI,USD,2021,Q4,28152019,6910590,2826194
2022-03-31,SULI,USD,2022,Q1,13474711,2274453,167695
2022-06-30,SULI,USD,2022,Q2,14776184,2157452,-546213
2022-09-30,SULI,USD,2022,Q3,21355647,4837181,35347718
2022-12-31,SULI,USD,2022,Q4,9267921,2797969,2540732
2023-03-31,SULI,USD,2023,Q1,4971049,1226381,-955374
2023-06-30,SULI,USD,2023,Q2,3794556,69949,-2203310
2023-09-30,SULI,USD,2023,Q3,3167593,-443128,-9443879
2023-12-31,SULI,USD,2023,Q4,3577245,-1010875,-1525970
2024-03-31,SULI,USD,2024,Q1,344062,-267392,-483742
2024-06-30,SULI,USD,2024,Q2,735657,-326850,-2665598
2024-09-30,SULI,USD,2024,Q3,152017,-218454,-3560584
2024-12-31,SULI,USD,2024,Q4,61426,237239,-4760041
2025-03-31,SULI,USD,2025,Q1,3562380,703413,165258
2025-06-30,SULI,USD,2025,Q2,3579588,-298751,-988382
2025-09-30,SULI,USD,2025,Q3,3890517,353125,-340272
2025-12-31,SULI,USD,2025,Q4,5406922,1121924,-2454184.4
2026-03-31,SULI,USD,2026,Q1,3044209,20555,-341472
2026-06-30,SULI,USD,2026,Q2,2579375,-634479,-547722
