date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2020-03-31,TAYS,IDR,2020,Q1,92299214019,19660571549,1762791743
2021-03-31,TAYS,IDR,2021,Q1,77104128355,19418869343,1463479365
2021-06-30,TAYS,IDR,2021,Q2,70006191887,14678230332,1202356235
2021-09-30,TAYS,IDR,2021,Q3,77434146933,18353999519,1902318064
2021-12-31,TAYS,IDR,2021,Q4,91395775810,22463000285,341589643
2022-03-31,TAYS,IDR,2022,Q1,90093341624,24748890513,3134922667
2022-06-30,TAYS,IDR,2022,Q2,67830355978,15553257383,-1336865744
2022-09-30,TAYS,IDR,2022,Q3,85430286773,22055675529,676486546
2022-12-31,TAYS,IDR,2022,Q4,88668713179,26735732636,5255730300
2023-03-31,TAYS,IDR,2023,Q1,88559592497,25346832930,2361580638
2023-06-30,TAYS,IDR,2023,Q2,54048512305,17022730574,-951169373
2023-09-30,TAYS,IDR,2023,Q3,53699913300,13107514111,-7206139294
2023-12-31,TAYS,IDR,2023,Q4,59288868000,13125509000,-13669846000
2024-03-31,TAYS,IDR,2024,Q1,54089171000,14120686000,-10105031000
2024-06-30,TAYS,IDR,2024,Q2,45028499191,12760439625,558243351
2024-09-30,TAYS,IDR,2024,Q3,31331004000,2771891000,-10835450000
2024-12-31,TAYS,IDR,2024,Q4,36943706000,3534676000,-47486955000
2025-03-31,TAYS,IDR,2025,Q1,30154498000,7196413000,-10364145000
2025-06-30,TAYS,IDR,2025,Q2,5009375000,-5857453000,-5678948000
2025-09-30,TAYS,IDR,2025,Q3,42336213000,11821684000,3207693000
