date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-12-31,TBMS,USD,2012,Q4,1796107873065,38385587639,15237060700
2013-03-31,TBMS,USD,2013,Q1,157132457,3073525,711334
2013-06-30,TBMS,USD,2013,Q2,165205041,3291140,107076
2013-09-30,TBMS,USD,2013,Q3,153030756,3204871,-3356232
2013-12-31,TBMS,USD,2013,Q4,158692073,-1717997,-1907991
2014-03-31,TBMS,USD,2014,Q1,168858827,4243894,3545214
2014-06-30,TBMS,USD,2014,Q2,143761779,2812839,-620311
2014-09-30,TBMS,USD,2014,Q3,138828370,3158406,407228
2014-12-31,TBMS,USD,2014,Q4,158399191,4460210,973183
2015-03-31,TBMS,USD,2015,Q1,132825164,3285592,-473135
2015-06-30,TBMS,USD,2015,Q2,130071145,3782632,1140588
2015-09-30,TBMS,USD,2015,Q3,128251788,4637372,-391233
2015-12-31,TBMS,USD,2015,Q4,125485536,5444263,1898003
2016-03-31,TBMS,USD,2016,Q1,110194804,5014333,2319597
2016-06-30,TBMS,USD,2016,Q2,114882650,5470604,1922857
2016-09-30,TBMS,USD,2016,Q3,109697748,4822506,1529990
2016-12-31,TBMS,USD,2016,Q4,131558935,5178714,1454561
2017-03-31,TBMS,USD,2017,Q1,148388078,6590711,2603788
2017-06-30,TBMS,USD,2017,Q2,134025168,5234749,1632194
2017-09-30,TBMS,USD,2017,Q3,159613285,5202712,1516701
2017-12-31,TBMS,USD,2017,Q4,178608522,5921117,1830988
2018-03-31,TBMS,USD,2018,Q1,188275811,5616627,1755327
2018-06-30,TBMS,USD,2018,Q2,178956542,4719243,1049081
2018-09-30,TBMS,USD,2018,Q3,182610630,5588366,1562763
2018-12-31,TBMS,USD,2018,Q4,187388565,7245241,2010269
2019-03-31,TBMS,USD,2019,Q1,161867491,5361168,1227596
2019-06-30,TBMS,USD,2019,Q2,147180910,5258424,1480731
2019-09-30,TBMS,USD,2019,Q3,146923790,4955479,1320152
2019-12-31,TBMS,USD,2019,Q4,127855336,4240169,1902573
2020-03-31,TBMS,USD,2020,Q1,133851745,4554975,452766
2020-06-30,TBMS,USD,2020,Q2,72908333,2570098,1737387
2020-09-30,TBMS,USD,2020,Q3,100511587,2373973,-282373
2020-12-31,TBMS,USD,2020,Q4,143781145,5186299,2596505
2021-03-31,TBMS,USD,2021,Q1,176788610,4465893,1947845
2021-06-30,TBMS,USD,2021,Q2,199127105,4025485,1344538
2021-09-30,TBMS,USD,2021,Q3,166945087,3971129,1611390
2021-12-31,TBMS,USD,2021,Q4,177869562,4222339,2071062
2022-03-31,TBMS,USD,2022,Q1,205610220,4672243,2444995
2022-06-30,TBMS,USD,2022,Q2,190021075,5141642,2077491
2022-09-30,TBMS,USD,2022,Q3,152840231,2610859,237694
2022-12-31,TBMS,USD,2022,Q4,174155839,2385463,465082
2023-03-31,TBMS,USD,2023,Q1,213785383,5563038,2197383
2023-06-30,TBMS,USD,2023,Q2,163687394,3997469,1146954
2023-09-30,TBMS,USD,2023,Q3,183036824,4096606,1417884
2023-12-31,TBMS,USD,2023,Q4,181017815,4096606,1417884
2024-03-31,TBMS,USD,2024,Q1,192923385,4753213,1987739
2024-06-30,TBMS,USD,2024,Q2,197501279,4822376,2050031
2024-09-30,TBMS,USD,2024,Q3,217880763,6417409,3688139
2024-12-31,TBMS,USD,2024,Q4,255464673,4717627,1186962
2025-03-31,TBMS,USD,2025,Q1,214260121,3327724,712223
2025-06-30,TBMS,USD,2025,Q2,216490889,5585614,2424308
2025-09-30,TBMS,USD,2025,Q3,223815000,4748000,2045000
2025-12-31,TBMS,USD,2025,Q4,261997877,1194690,-1152201
2026-03-31,TBMS,USD,2026,Q1,263806284,6592460,3570488
2026-06-30,TBMS,USD,2026,Q2,258999568,2929189,-255548
