date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2016-12-31,TDPM,USD,2016,Q4,30247993,3941616,2275424
2017-09-30,TDPM,USD,2017,Q3,35390292,3587922,1653965
2017-12-31,TDPM,USD,2017,Q4,42146145,19498958,1701191
2018-03-31,TDPM,USD,2018,Q1,52297539,8553186,2858381
2018-06-30,TDPM,USD,2018,Q2,61273128,13698835,1277640
2018-09-30,TDPM,USD,2018,Q3,85659955,13680881,4443499
2018-12-31,TDPM,USD,2018,Q4,68509428,4344485,3752192
2019-03-31,TDPM,USD,2019,Q1,78449529,11804523,4328529
2019-06-30,TDPM,USD,2019,Q2,73963775,11143338,3699730
2019-09-30,TDPM,USD,2019,Q3,77261657,11121637,3198602
2019-12-31,TDPM,USD,2019,Q4,79480347,12243591,4404189
2020-03-31,TDPM,USD,2020,Q1,67073063,12238392,5301950
2020-06-30,TDPM,USD,2020,Q2,43595536,9379152,1426986
2020-09-30,TDPM,USD,2020,Q3,41148066,6670484,-5462019
2020-12-31,TDPM,USD,2020,Q4,46991874,6870804,-4025597
2021-03-31,TDPM,USD,2021,Q1,20119000,2378998,-47283230
2021-12-31,TDPM,USD,2021,Q4,17908345,2613052,-26336607
2022-03-31,TDPM,USD,2022,Q1,17545791,2491293,395824
2022-06-30,TDPM,USD,2022,Q2,16243356,1940903,866538
2022-09-30,TDPM,USD,2022,Q3,16368200,1714250,-621181
2022-12-31,TDPM,USD,2022,Q4,13324956,1322144,-50046670
2023-09-30,TDPM,USD,2023,Q3,12845173,1117415,2545775
