date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2018-03-31,TEBE,IDR,2018,Q1,6531721000,2250153000,65105560500
2018-06-30,TEBE,IDR,2018,Q2,6531721000,2250153000,65105560500
2018-09-30,TEBE,IDR,2018,Q3,141165548000,59090989500,36964783000
2018-12-31,TEBE,IDR,2018,Q4,141165548000,59090989500,36964783000
2019-03-31,TEBE,IDR,2019,Q1,75477163000,19520077000,8965758000
2019-06-30,TEBE,IDR,2019,Q2,88641827000,28319210000,9114295000
2019-09-30,TEBE,IDR,2019,Q3,120840151000,37294248000,15107579000
2019-12-31,TEBE,IDR,2019,Q4,94944981000,30371529000,12368628000
2020-03-31,TEBE,IDR,2020,Q1,50168094000,4588709000,-5670011000
2020-06-30,TEBE,IDR,2020,Q2,39175733000,-1906530000,-12043201000
2020-09-30,TEBE,IDR,2020,Q3,51995981000,14429545000,4866691000
2020-12-31,TEBE,IDR,2020,Q4,56613069000,20400982000,10356656000
2021-03-31,TEBE,IDR,2021,Q1,47847475000,11957436000,2749876000
2021-06-30,TEBE,IDR,2021,Q2,93667486000,49865207000,37402431000
2021-09-30,TEBE,IDR,2021,Q3,147841793000,92988326000,66005024000
2021-12-31,TEBE,IDR,2021,Q4,158651674000,86312198000,58157550000
2022-03-31,TEBE,IDR,2022,Q1,102952053000,48559155000,34199441000
2022-06-30,TEBE,IDR,2022,Q2,173950512000,104629176000,68898872000
2022-09-30,TEBE,IDR,2022,Q3,249094418000,162650302000,121482509000
2022-12-31,TEBE,IDR,2022,Q4,255796768000,146427752000,100864243000
2023-03-31,TEBE,IDR,2023,Q1,168696046000,91805901000,66738413000
2023-06-30,TEBE,IDR,2023,Q2,140991380000,73683834000,50520883000
2023-09-30,TEBE,IDR,2023,Q3,149280061000,77814552000,54551861000
2023-12-31,TEBE,IDR,2023,Q4,173265321000,85929913000,48319457000
2024-03-31,TEBE,IDR,2024,Q1,97333653000,37994998000,25037987000
2024-06-30,TEBE,IDR,2024,Q2,126399715000,37183412000,17702416000
2024-09-30,TEBE,IDR,2024,Q3,168570146000,78630922000,44067428000
2024-12-31,TEBE,IDR,2024,Q4,174370949000,84808424000,46384509000
2025-03-31,TEBE,IDR,2025,Q1,71275505000,6874259000,108806000
2025-06-30,TEBE,IDR,2025,Q2,99656128000,45455484000,27460510000
2025-09-30,TEBE,IDR,2025,Q3,152446797000,75879514000,53776218000
2025-12-31,TEBE,IDR,2025,Q4,159813655000,70406676000,51380771000
2026-03-31,TEBE,IDR,2026,Q1,85026621000,14087505000,11631770000
