date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-09-30,TFCO,USD,2011,Q3,101850729,1554331,-545562
2011-12-31,TFCO,USD,2011,Q4,95263655,4305648,3461498
2012-03-31,TFCO,USD,2012,Q1,99834820,4475824,2432715
2012-06-30,TFCO,USD,2012,Q2,90871786,5478065,3603978
2012-09-30,TFCO,USD,2012,Q3,85673478,2446414,472233
2012-12-31,TFCO,USD,2012,Q4,83142673,21110,1576693
2013-03-31,TFCO,USD,2013,Q1,82285231,2196910,604888
2013-06-30,TFCO,USD,2013,Q2,78434158,-2038930,-3878799
2013-09-30,TFCO,USD,2013,Q3,71430647,-631376,-3255314
2013-12-31,TFCO,USD,2013,Q4,72647191,-941493,-2872858
2014-03-31,TFCO,USD,2014,Q1,78783826,1834102,878815
2014-06-30,TFCO,USD,2014,Q2,75160437,1086571,-857807
2014-09-30,TFCO,USD,2014,Q3,63301433,957509,-567821
2014-12-31,TFCO,USD,2014,Q4,64169034,-3054000,-4072220
2015-03-31,TFCO,USD,2015,Q1,47378214,-2365862,-4238073
2015-06-30,TFCO,USD,2015,Q2,47374911,1135341,730929
2015-09-30,TFCO,USD,2015,Q3,42689194,2155467,751242
2015-12-31,TFCO,USD,2015,Q4,47203470,1964139,1121102
2016-03-31,TFCO,USD,2016,Q1,48878078,1716043,965312
2016-06-30,TFCO,USD,2016,Q2,50685368,4290447,4048302
2016-09-30,TFCO,USD,2016,Q3,40072672,-702490,-2128157
2016-12-31,TFCO,USD,2016,Q4,46740712,2515112,3341811
2017-03-31,TFCO,USD,2017,Q1,53273688,3003996,2003889
2017-06-30,TFCO,USD,2017,Q2,48768351,2463482,1478260
2017-09-30,TFCO,USD,2017,Q3,56973598,4624498,3424330
2017-12-31,TFCO,USD,2017,Q4,57575568,1843517,-3634270
2018-03-31,TFCO,USD,2018,Q1,59822957,3436710,2265589
2018-06-30,TFCO,USD,2018,Q2,47692905,-51564,-1368104
2018-09-30,TFCO,USD,2018,Q3,59751743,698604,-531903
2018-12-31,TFCO,USD,2018,Q4,60822317,1377095,-860545
2019-03-31,TFCO,USD,2019,Q1,50262882,811456,145905
2019-06-30,TFCO,USD,2019,Q2,45248474,766424,-14398
2019-09-30,TFCO,USD,2019,Q3,49086181,-1427121,-1955475
2019-12-31,TFCO,USD,2019,Q4,44424589,-2108610,-3434381
2020-03-31,TFCO,USD,2020,Q1,46146147,3074970,-70230
2020-06-30,TFCO,USD,2020,Q2,29546758,182409,590365
2020-09-30,TFCO,USD,2020,Q3,32786498,-359292,-1540613
2020-12-31,TFCO,USD,2020,Q4,40256477,1242764,162939
2021-03-31,TFCO,USD,2021,Q1,48999055,6150513,3816792
2021-06-30,TFCO,USD,2021,Q2,48336197,3513979,2194031
2021-09-30,TFCO,USD,2021,Q3,54843917,4476948,3192448
2021-12-31,TFCO,USD,2021,Q4,62071767,6409652,4220221
2022-03-31,TFCO,USD,2022,Q1,61787362,4869847,3221223
2022-06-30,TFCO,USD,2022,Q2,58940814,2860840,1186444
2022-09-30,TFCO,USD,2022,Q3,57344617,3740989,1656363
2022-12-31,TFCO,USD,2022,Q4,47395356,-2961036,-2648258
2023-03-31,TFCO,USD,2023,Q1,50760179,914030,1148871
2023-06-30,TFCO,USD,2023,Q2,47468914,1963202,951684
2023-09-30,TFCO,USD,2023,Q3,51177139,600097,-339751
2023-12-31,TFCO,USD,2023,Q4,46666521,1309515,1536668
2024-03-31,TFCO,USD,2024,Q1,47500145,921505,201626
2024-06-30,TFCO,USD,2024,Q2,42116813,404774,-368720
2024-09-30,TFCO,USD,2024,Q3,47904420,2313753,2148325
2024-12-31,TFCO,USD,2024,Q4,50057931,706608,960154
2025-03-31,TFCO,USD,2025,Q1,47256477,2713275,2004019
2025-06-30,TFCO,USD,2025,Q2,45290676,1779811,1439660
2025-09-30,TFCO,USD,2025,Q3,49621785,1561584,1101993
2025-12-31,TFCO,USD,2025,Q4,46318589,-4429472,-5985506
2026-03-31,TFCO,USD,2026,Q1,48446926,-1415350,-1696478
2026-06-30,TFCO,USD,2026,Q2,48503001,5755746,4982727
