date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,TGKA,IDR,2012,Q3,1913104906932,180394979101,24913263808
2012-12-31,TGKA,IDR,2012,Q4,2001493867717,205820053725,32962163171
2013-03-31,TGKA,IDR,2013,Q1,1835529917325,184040579262,30997910374
2013-06-30,TGKA,IDR,2013,Q2,2070474199132,220122058498,64197227769
2013-09-30,TGKA,IDR,2013,Q3,2065539758786,208113919615,24107882296
2013-12-31,TGKA,IDR,2013,Q4,2226581859163,252480558054,10456557032
2014-03-31,TGKA,IDR,2014,Q1,2168068746220,213302675545,33472558028
2014-06-30,TGKA,IDR,2014,Q2,2368006112995,239959358436,48539436187
2014-09-30,TGKA,IDR,2014,Q3,2502628630088,240643864950,48872630439
2014-12-31,TGKA,IDR,2014,Q4,2424302074853,274477579407,30444601027
2015-03-31,TGKA,IDR,2015,Q1,2362470915222,247780592365,44006302587
2015-06-30,TGKA,IDR,2015,Q2,2525029895636,282660064259,52254197899
2015-09-30,TGKA,IDR,2015,Q3,2221531493438,277044412024,47139895274
2015-12-31,TGKA,IDR,2015,Q4,2417834028374,277369886238,40889036973
2016-03-31,TGKA,IDR,2016,Q1,2311372800697,245448163153,39893511690
2016-06-30,TGKA,IDR,2016,Q2,2650978170810,282236533689,62658715398
2016-09-30,TGKA,IDR,2016,Q3,2180730533252,246179416173,38079049141
2016-12-31,TGKA,IDR,2016,Q4,2471641735838,285145057702,58773115610
2017-03-31,TGKA,IDR,2017,Q1,2377693990434,260740698779,45213531055
2017-06-30,TGKA,IDR,2017,Q2,2535890091809,275263233182,56252677884
2017-09-30,TGKA,IDR,2017,Q3,2446200741166,280540400767,52999403440
2017-12-31,TGKA,IDR,2017,Q4,2687194515255,302756428561,89957170538
2018-03-31,TGKA,IDR,2018,Q1,2467479202697,288924305018,61540711792
2018-06-30,TGKA,IDR,2018,Q2,2854169897339,324358037623,76889946749
2018-09-30,TGKA,IDR,2018,Q3,3555177971625,406887744002,74166282816
2018-12-31,TGKA,IDR,2018,Q4,4063281147689,395098629606,97156032737
2019-03-31,TGKA,IDR,2019,Q1,4134059906981,428813331430,110232211307
2019-06-30,TGKA,IDR,2019,Q2,3150806533133,416044943801,111095035332
2019-09-30,TGKA,IDR,2019,Q3,2997500881521,402492414954,92848150251
2019-12-31,TGKA,IDR,2019,Q4,3089676232706,433585522397,114240584980
2020-03-31,TGKA,IDR,2020,Q1,3382786383814,408912188689,119836870739
2020-06-30,TGKA,IDR,2020,Q2,3268227115586,430181644711,116276605034
2020-09-30,TGKA,IDR,2020,Q3,3091645406625,438986816924,124483311881
2020-12-31,TGKA,IDR,2020,Q4,2746224635672,404118139669,117960999411
2021-03-31,TGKA,IDR,2021,Q1,3072137985938,403055523729,137798725975
2021-06-30,TGKA,IDR,2021,Q2,2871599358423,374742079185,112724760042
2021-09-30,TGKA,IDR,2021,Q3,3022220383865,369994347717,99499936638
2021-12-31,TGKA,IDR,2021,Q4,2960192251793,367825841995,131074117113
2022-03-31,TGKA,IDR,2022,Q1,3239571727847,358064182769,122766584851
2022-06-30,TGKA,IDR,2022,Q2,3252411892258,344324374686,105060239061
2022-09-30,TGKA,IDR,2022,Q3,3220783458372,325821937212,93723611809
2022-12-31,TGKA,IDR,2022,Q4,3264762215526,381409004985,156587815212
2023-03-31,TGKA,IDR,2023,Q1,3737618116230,364669518832,124413000000
2023-06-30,TGKA,IDR,2023,Q2,3466081218227,345632233594,112006193571
2023-09-30,TGKA,IDR,2023,Q3,3636622069699,338106171924,109046764281
2023-12-31,TGKA,IDR,2023,Q4,3369813595844,329022923438,111570522631
2024-03-31,TGKA,IDR,2024,Q1,3597757000000,329151000000,118939000000
2024-06-30,TGKA,IDR,2024,Q2,3345943000000,295327000000,91442000000
2024-09-30,TGKA,IDR,2024,Q3,3131744000000,302895000000,76364000000
2024-12-31,TGKA,IDR,2024,Q4,3288216000000,335413000000,125697000000
2025-03-31,TGKA,IDR,2025,Q1,3212864000000,289930000000,103575000000
2025-06-30,TGKA,IDR,2025,Q2,2991589000000,284601000000,81526000000
2025-09-30,TGKA,IDR,2025,Q3,3314251000000,255717000000,74337000000
2025-12-31,TGKA,IDR,2025,Q4,3550408000000,284098000000,149344000000
2026-03-31,TGKA,IDR,2026,Q1,3578701000000,347059000000,110932000000
2026-06-30,TGKA,IDR,2026,Q2,3525826000000,336399000000,89657000000
