date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2016-03-31,TGRA,IDR,2016,Q1,0,-950000,-408503207
2016-06-30,TGRA,IDR,2016,Q2,0,-950000,-408503207
2016-09-30,TGRA,IDR,2016,Q3,0,-1018500,-423327639
2016-12-31,TGRA,IDR,2016,Q4,11034660014,2340465187,1395683407
2017-03-31,TGRA,IDR,2017,Q1,0,-66680000,-1284809294
2017-06-30,TGRA,IDR,2017,Q2,18279159645,4093420380,609013542
2017-09-30,TGRA,IDR,2017,Q3,12629085344,2828147263,587083173
2017-12-31,TGRA,IDR,2017,Q4,7012068625,3253398865,946658129
2018-03-31,TGRA,IDR,2018,Q1,6699185756,2054678696,408731061
2018-06-30,TGRA,IDR,2018,Q2,9670573750,2544293850,189867082
2018-09-30,TGRA,IDR,2018,Q3,12423255250,3105209790,571816828
2018-12-31,TGRA,IDR,2018,Q4,16795308219,4732336098,898867659
2019-03-31,TGRA,IDR,2019,Q1,5910926767,2384214267,-203700364
2019-06-30,TGRA,IDR,2019,Q2,12167044708,4963566208,613624333
2019-09-30,TGRA,IDR,2019,Q3,2373017314,1740496982,-3329303713
2019-12-31,TGRA,IDR,2019,Q4,3362056634,2242607904,-6146890834
2020-03-31,TGRA,IDR,2020,Q1,3068846084,1225781894,2884299764
2020-06-30,TGRA,IDR,2020,Q2,4772433612,759337694,-7604331766
2020-09-30,TGRA,IDR,2020,Q3,1056674269,-77754760,2152257763
2020-12-31,TGRA,IDR,2020,Q4,3529218465,2070299545,4389165470
2021-03-31,TGRA,IDR,2021,Q1,2292018373,193952625,-1465952609
2021-06-30,TGRA,IDR,2021,Q2,1700484620,795237053,-1444974896
2021-09-30,TGRA,IDR,2021,Q3,8101030195,6580203482,2617781285
2021-12-31,TGRA,IDR,2021,Q4,26596625666,11660461830,6444756692
2022-03-31,TGRA,IDR,2022,Q1,0,-2925203763,-429918609
2022-06-30,TGRA,IDR,2022,Q2,0,2925203763,-1295756097
2022-09-30,TGRA,IDR,2022,Q3,0,-196894998,-2666099452
2022-12-31,TGRA,IDR,2022,Q4,13755869523,6965133855,10304478847
2023-03-31,TGRA,IDR,2023,Q1,622549942,161549942,-1131495690
2023-06-30,TGRA,IDR,2023,Q2,354215252,126363559,-1078738578
2023-09-30,TGRA,IDR,2023,Q3,0,-137052000,-1628216508
2023-12-31,TGRA,IDR,2023,Q4,0,-228895625,-4487031482
2024-03-31,TGRA,IDR,2024,Q1,0,-182749606,-2501360271
2024-06-30,TGRA,IDR,2024,Q2,0,-182749605,-3337687537
2024-09-30,TGRA,IDR,2024,Q3,0,-185993995,-3459917445
2024-12-31,TGRA,IDR,2024,Q4,0,-30105938,-13799605000
2025-03-31,TGRA,IDR,2025,Q1,0,-17215625,-2630685000
2025-06-30,TGRA,IDR,2025,Q2,0,-12215625,-8599422000
2025-09-30,TGRA,IDR,2025,Q3,0,-9715625,-1185965019
