date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2013-03-31,TIFA,IDR,2013,Q1,21046519000,21046519000,11607760000
2013-06-30,TIFA,IDR,2013,Q2,21840601000,21840601000,8260864000
2013-09-30,TIFA,IDR,2013,Q3,16857376000,16857376000,9257736000
2013-12-31,TIFA,IDR,2013,Q4,18268285000,18268285000,2453739000
2014-03-31,TIFA,IDR,2014,Q1,22978146000,22978146000,8887518000
2014-06-30,TIFA,IDR,2014,Q2,21848326000,21848326000,8403318000
2014-09-30,TIFA,IDR,2014,Q3,15347534000,15347534000,8835604000
2014-12-31,TIFA,IDR,2014,Q4,12957227000,12957227000,10175115000
2015-03-31,TIFA,IDR,2015,Q1,21753723000,21753723000,7051485000
2015-06-30,TIFA,IDR,2015,Q2,21178951000,21178951000,6204072000
2015-09-30,TIFA,IDR,2015,Q3,-223409000,-223409000,4706216000
2015-12-31,TIFA,IDR,2015,Q4,23780591000,23780591000,2099958000
2016-03-31,TIFA,IDR,2016,Q1,22007699000,22007699000,5764196000
2016-06-30,TIFA,IDR,2016,Q2,24190013000,24190013000,6356660000
2016-09-30,TIFA,IDR,2016,Q3,20275166000,20275166000,2485449000
2016-12-31,TIFA,IDR,2016,Q4,4642681000,4642681000,2990734000
2017-03-31,TIFA,IDR,2017,Q1,22211696000,22211696000,7382150000
2017-06-30,TIFA,IDR,2017,Q2,24105047000,24105047000,5986526000
2017-09-30,TIFA,IDR,2017,Q3,25650551000,25650551000,6849011000
2017-12-31,TIFA,IDR,2017,Q4,9742570000,9742570000,2792677000
2018-03-31,TIFA,IDR,2018,Q1,29671943000,29671943000,7610436000
2018-06-30,TIFA,IDR,2018,Q2,27138016000,27138016000,7858717000
2018-09-30,TIFA,IDR,2018,Q3,27905704000,27905704000,7852711000
2018-12-31,TIFA,IDR,2018,Q4,6512908000,6512908000,4514768000
2019-03-31,TIFA,IDR,2019,Q1,24619429000,24619429000,8034722000
2019-06-30,TIFA,IDR,2019,Q2,30753430000,30753430000,9253381000
2019-09-30,TIFA,IDR,2019,Q3,27441628000,27441628000,8711964000
2019-12-31,TIFA,IDR,2019,Q4,8593514000,8593514000,7033813000
2020-03-31,TIFA,IDR,2020,Q1,21617078000,21617078000,6668176000
2020-06-30,TIFA,IDR,2020,Q2,19841699000,19841699000,7204032000
2020-09-30,TIFA,IDR,2020,Q3,18029593000,18029593000,6083863000
2020-12-31,TIFA,IDR,2020,Q4,18322991000,18322991000,-5070701000
2021-03-31,TIFA,IDR,2021,Q1,28433622000,21715832000,7547116000
2021-06-30,TIFA,IDR,2021,Q2,26302952000,20296310000,8186552000
2021-09-30,TIFA,IDR,2021,Q3,18882097000,12013653000,725338000
2021-12-31,TIFA,IDR,2021,Q4,40274437000,39633426000,10272682000
2022-03-31,TIFA,IDR,2022,Q1,32727982000,32137107000,12880476000
2022-06-30,TIFA,IDR,2022,Q2,35884631000,34942598000,16057973000
2022-09-30,TIFA,IDR,2022,Q3,33465699000,31249426000,19203434000
2022-12-31,TIFA,IDR,2022,Q4,54108192000,49651758000,8762368000
2023-03-31,TIFA,IDR,2023,Q1,38890617000,23783610000,15323284000
2023-06-30,TIFA,IDR,2023,Q2,39141858000,24274740000,14346086000
2023-09-30,TIFA,IDR,2023,Q3,39099582000,22177405000,14743685000
2023-12-31,TIFA,IDR,2023,Q4,48246879000,31180150000,15482974000
2024-03-31,TIFA,IDR,2024,Q1,43683200000,24254147000,14249949000
2024-06-30,TIFA,IDR,2024,Q2,43683301000,25393414000,17250354000
2024-09-30,TIFA,IDR,2024,Q3,44694225000,27272891000,17818886000
2024-12-31,TIFA,IDR,2024,Q4,45698277000,26295387000,15729680000
2025-03-31,TIFA,IDR,2025,Q1,42964904000,22264199000,8816160000
2025-06-30,TIFA,IDR,2025,Q2,42906588000,25925892000,11220348000
2025-09-30,TIFA,IDR,2025,Q3,42418617000,21775677000,23453680000
2025-12-31,TIFA,IDR,2025,Q4,44526478000,43179411000,22816078000
2026-03-31,TIFA,IDR,2026,Q1,41866241000,20195499000,4398299000
