date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2020-12-31,TLDN,IDR,2020,Q4,963003481000,311901173000,207319392000
2021-03-31,TLDN,IDR,2021,Q1,581369239000,153845809000,50249939000
2021-06-30,TLDN,IDR,2021,Q2,752176730000,234151030000,106796601000
2021-09-30,TLDN,IDR,2021,Q3,708591297000,374963239000,111726571000
2021-12-31,TLDN,IDR,2021,Q4,896243887000,413241235000,262386697000
2022-03-31,TLDN,IDR,2022,Q1,836356735000,421177197000,295562543000
2022-06-30,TLDN,IDR,2022,Q2,933781176000,431162660000,211567040000
2022-09-30,TLDN,IDR,2022,Q3,697539642000,169993575000,53338601000
2022-12-31,TLDN,IDR,2022,Q4,1145499125000,224188989000,13505668000
2023-03-31,TLDN,IDR,2023,Q1,955565876000,181463767000,52183672000
2023-06-30,TLDN,IDR,2023,Q2,960099785000,141957950000,11211471000
2023-09-30,TLDN,IDR,2023,Q3,969764901000,320689338000,170795217000
2023-12-31,TLDN,IDR,2023,Q4,1123206693000,422814832000,217599178000
2024-03-31,TLDN,IDR,2024,Q1,858644407000,190733418000,70249647000
2024-06-30,TLDN,IDR,2024,Q2,1002505480000,350328286000,198805096000
2024-09-30,TLDN,IDR,2024,Q3,997007634000,256544683000,124850089000
2024-12-31,TLDN,IDR,2024,Q4,1342878753000,636121255000,431682573000
2025-03-31,TLDN,IDR,2025,Q1,1280624553000,394138929000,218918797000
2025-06-30,TLDN,IDR,2025,Q2,1269216626000,530550423000,342352595000
2025-09-30,TLDN,IDR,2025,Q3,1249752511000,353173189000,268028617000
2025-12-31,TLDN,IDR,2025,Q4,1602183168000,551625766000,277306485000
2026-03-31,TLDN,IDR,2026,Q1,1367452844000,348218297000,181770215000
