date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-12-31,TMPO,IDR,2012,Q4,68435214000,30070138000,17170253000
2013-03-31,TMPO,IDR,2013,Q1,60584753000,25758540000,1568509000
2013-06-30,TMPO,IDR,2013,Q2,66929055000,34413823000,2665569000
2013-09-30,TMPO,IDR,2013,Q3,68496064000,32615365000,1220138000
2013-12-31,TMPO,IDR,2013,Q4,66147417000,30521821000,1902048000
2014-03-31,TMPO,IDR,2014,Q1,98785191000,23317341000,-3924416000
2014-06-30,TMPO,IDR,2014,Q2,65173941000,28295400000,5675390000
2014-09-30,TMPO,IDR,2014,Q3,66237502000,27269938000,2402086000
2014-12-31,TMPO,IDR,2014,Q4,86417714000,34533550000,11324574000
2015-03-31,TMPO,IDR,2015,Q1,47599930000,17503260000,-5880767000
2015-06-30,TMPO,IDR,2015,Q2,64512668000,30180578000,2930498000
2015-09-30,TMPO,IDR,2015,Q3,60129322000,29252220000,4752611000
2015-12-31,TMPO,IDR,2015,Q4,80204408000,35716237000,814386000
2016-03-31,TMPO,IDR,2016,Q1,49676079000,20224553000,-3867438000
2016-06-30,TMPO,IDR,2016,Q2,57996623000,23445247000,-1218939000
2016-09-30,TMPO,IDR,2016,Q3,62938669000,28275196000,-220168000
2016-12-31,TMPO,IDR,2016,Q4,61060536000,25430106000,-8276672000
2017-03-31,TMPO,IDR,2017,Q1,58169824000,20346743000,-1845466000
2017-06-30,TMPO,IDR,2017,Q2,73288963000,33658721000,4643876000
2017-09-30,TMPO,IDR,2017,Q3,84697372000,29732066000,1262200000
2017-12-31,TMPO,IDR,2017,Q4,71272834000,26076734000,-4210633000
2018-03-31,TMPO,IDR,2018,Q1,57776491000,16994227000,-1626429000
2018-06-30,TMPO,IDR,2018,Q2,72729380000,24639851000,-4525130000
2018-09-30,TMPO,IDR,2018,Q3,78296255000,32869689000,6781013000
2018-12-31,TMPO,IDR,2018,Q4,82743058000,34703704000,2218619000
2019-03-31,TMPO,IDR,2019,Q1,77007015000,16390855000,-4095428000
2019-06-30,TMPO,IDR,2019,Q2,65250286000,19254154000,-840823000
2019-09-30,TMPO,IDR,2019,Q3,73522438000,31650026000,6580313000
2019-12-31,TMPO,IDR,2019,Q4,89391968000,42253278000,-538548000
2020-03-31,TMPO,IDR,2020,Q1,46591621000,15328350000,-7651275000
2020-06-30,TMPO,IDR,2020,Q2,43246415000,9702691000,-14869312000
2020-09-30,TMPO,IDR,2020,Q3,43462647000,12609900000,4107008000
2020-12-31,TMPO,IDR,2020,Q4,58346183000,19028045000,-29330711000
2021-03-31,TMPO,IDR,2021,Q1,38079987000,11014750000,-1994099000
2021-06-30,TMPO,IDR,2021,Q2,45837245000,17202741000,2498184000
2021-09-30,TMPO,IDR,2021,Q3,44449250000,17397888000,1797646000
2021-12-31,TMPO,IDR,2021,Q4,60759831000,24903666000,2465164000
2022-03-31,TMPO,IDR,2022,Q1,50705718000,16445251000,-60348000
2022-06-30,TMPO,IDR,2022,Q2,50351735000,15090693000,-1196996000
2022-09-30,TMPO,IDR,2022,Q3,50393880000,19323602000,426320000
2022-12-31,TMPO,IDR,2022,Q4,59646488000,20997743000,-2547482000
2023-03-31,TMPO,IDR,2023,Q1,53210549000,18646987000,-1615260000
2023-06-30,TMPO,IDR,2023,Q2,44315608000,14676740000,2589428000
2023-09-30,TMPO,IDR,2023,Q3,47190230000,19226172000,-184217000
2023-12-31,TMPO,IDR,2023,Q4,72048229000,27227312000,115910000
2024-03-31,TMPO,IDR,2024,Q1,83250419000,14541717000,-2796263000
2024-06-30,TMPO,IDR,2024,Q2,52350710000,18917880000,-860459000
2024-09-30,TMPO,IDR,2024,Q3,48581442000,26539499000,2004651000
2024-12-31,TMPO,IDR,2024,Q4,69598684000,32140866000,3312987000
2025-03-31,TMPO,IDR,2025,Q1,38433898000,12909673000,-4286865000
2025-06-30,TMPO,IDR,2025,Q2,44575859000,18586343000,-2327432000
2025-09-30,TMPO,IDR,2025,Q3,47333339000,22801612000,1373812000
2025-12-31,TMPO,IDR,2025,Q4,80606154000,48783308000,8028755000
2026-03-31,TMPO,IDR,2026,Q1,36841458000,9728098000,-4620571000
2026-06-30,TMPO,IDR,2026,Q2,42884079000,16825479000,-1132370000
