date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2017-03-31,TNCA,IDR,2017,Q1,13257983077,2887399664,509091383
2017-06-30,TNCA,IDR,2017,Q2,13257983077,2887399664,509091382
2017-09-30,TNCA,IDR,2017,Q3,12835385822,2857992132,481501517
2017-12-31,TNCA,IDR,2017,Q4,12483284689,4361534364,815686678
2018-03-31,TNCA,IDR,2018,Q1,14299931705,3024908034,242917474
2018-06-30,TNCA,IDR,2018,Q2,15324910436,5139320840,1183914610
2018-09-30,TNCA,IDR,2018,Q3,16230039381,5254735779,248476035
2018-12-31,TNCA,IDR,2018,Q4,17507532044,5435050941,962754319
2019-03-31,TNCA,IDR,2019,Q1,18116840912,4283280695,315607618
2019-06-30,TNCA,IDR,2019,Q2,18438119284,3800788206,450990554
2019-09-30,TNCA,IDR,2019,Q3,18882691093,3910266429,704458184
2019-12-31,TNCA,IDR,2019,Q4,20185054467,4902540359,847446119
2020-03-31,TNCA,IDR,2020,Q1,19740075407,4575695481,348298673
2020-06-30,TNCA,IDR,2020,Q2,14450561866,3727637142,-83949007
2020-09-30,TNCA,IDR,2020,Q3,17830552335,3995229099,189655317
2020-12-31,TNCA,IDR,2020,Q4,16799822315,3681117523,-3636357566
2021-03-31,TNCA,IDR,2021,Q1,17141162742,4201001401,708344049
2021-06-30,TNCA,IDR,2021,Q2,19332828888,4933033770,-270082463
2021-09-30,TNCA,IDR,2021,Q3,18817379287,4817152179,1770591120
2021-12-31,TNCA,IDR,2021,Q4,21071873477,4501125829,-1041931268
2022-03-31,TNCA,IDR,2022,Q1,17288304619,5199936592,895165578
2022-06-30,TNCA,IDR,2022,Q2,17285687011,3452461116,-474907695
2022-09-30,TNCA,IDR,2022,Q3,16282146533,4076482556,511053101
2022-12-31,TNCA,IDR,2022,Q4,22227646389,4600864046,-195819288
2023-03-31,TNCA,IDR,2023,Q1,18335870553,6319383081,2519355700
2023-06-30,TNCA,IDR,2023,Q2,13971281765,3275480309,-880084521
2023-09-30,TNCA,IDR,2023,Q3,21790719738,4370271127,552568432
2023-12-31,TNCA,IDR,2023,Q4,13815117503,81505104,-1754170558
2024-03-31,TNCA,IDR,2024,Q1,16697853905,4857250930,1060640415
2024-06-30,TNCA,IDR,2024,Q2,19174321410,4427845705,-270364275
2024-09-30,TNCA,IDR,2024,Q3,17117091202,3282737897,-310251066
2024-12-31,TNCA,IDR,2024,Q4,19955070077,1697450819,-83364851
2025-03-31,TNCA,IDR,2025,Q1,17883175081,3861286703,-317131416
2025-06-30,TNCA,IDR,2025,Q2,16154910617,4261247236,604137100
2025-09-30,TNCA,IDR,2025,Q3,19317376957,3273603099,265065616
2025-12-31,TNCA,IDR,2025,Q4,20431195724,2069924395,-1466977427
2026-03-31,TNCA,IDR,2026,Q1,18122013900,519648747,-3145422329
