date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,TOTO,IDR,2012,Q3,363844045133,114711999764,66910226911
2012-12-31,TOTO,IDR,2012,Q4,426887143702,113751881574,43354139373
2013-03-31,TOTO,IDR,2013,Q1,417903071957,117215858491,68709534600
2013-06-30,TOTO,IDR,2013,Q2,423208863289,132163280791,68877996308
2013-09-30,TOTO,IDR,2013,Q3,388611544524,123724379151,64639173108
2013-12-31,TOTO,IDR,2013,Q4,481583303912,110038076599,34330809146
2014-03-31,TOTO,IDR,2014,Q1,494960180840,142942070445,84496644659
2014-06-30,TOTO,IDR,2014,Q2,525865655016,146433235943,79445283030
2014-09-30,TOTO,IDR,2014,Q3,470302211111,142903528919,82813974306
2014-12-31,TOTO,IDR,2014,Q4,562502327116,98755578740,49105130728
2015-03-31,TOTO,IDR,2015,Q1,585058692418,155915339544,91249265411
2015-06-30,TOTO,IDR,2015,Q2,595564743564,143935020250,72535402737
2015-09-30,TOTO,IDR,2015,Q3,493392331220,108860051370,43022070937
2015-12-31,TOTO,IDR,2015,Q4,604658103991,161389214662,78430041574
2016-03-31,TOTO,IDR,2016,Q1,537616153238,106160335962,46342602121
2016-06-30,TOTO,IDR,2016,Q2,567747582086,154479668314,81329735031
2016-09-30,TOTO,IDR,2016,Q3,437193783800,79007420370,28726093211
2016-12-31,TOTO,IDR,2016,Q4,526460115586,103944831715,12166153355
2017-03-31,TOTO,IDR,2017,Q1,574793688791,137894966081,74079308853
2017-06-30,TOTO,IDR,2017,Q2,450609568681,97410873097,34599224623
2017-09-30,TOTO,IDR,2017,Q3,576290524659,160049028029,79799747070
2017-12-31,TOTO,IDR,2017,Q4,570168149033,148920534827,90457523998
2018-03-31,TOTO,IDR,2018,Q1,600866686574,150869372224,83385499626
2018-06-30,TOTO,IDR,2018,Q2,536497991334,144125247120,61193301697
2018-09-30,TOTO,IDR,2018,Q3,577629942514,167224357441,86016858679
2018-12-31,TOTO,IDR,2018,Q4,513265759462,125494781743,116097136100
2019-03-31,TOTO,IDR,2019,Q1,547898485239,103385357269,41170256897
2019-06-30,TOTO,IDR,2019,Q2,441840520505,75057390117,21992556418
2019-09-30,TOTO,IDR,2019,Q3,530630461523,94398391598,26669387212
2019-12-31,TOTO,IDR,2019,Q4,535727194053,112164665941,50765300388
2020-03-31,TOTO,IDR,2020,Q1,482899438595,98319789672,57824598116
2020-06-30,TOTO,IDR,2020,Q2,281065338271,-5333233000,-70143657000
2020-09-30,TOTO,IDR,2020,Q3,382961290031,-3268735916,-42467707481
2020-12-31,TOTO,IDR,2020,Q4,475393689492,112926754486,24097098896
2021-03-31,TOTO,IDR,2021,Q1,464712322400,59413169499,12256043880
2021-06-30,TOTO,IDR,2021,Q2,391889159887,61244804601,11927802517
2021-09-30,TOTO,IDR,2021,Q3,446695874734,86603727675,30783967422
2021-12-31,TOTO,IDR,2021,Q4,528659450530,157886840150,106020077822
2022-03-31,TOTO,IDR,2022,Q1,559833894478,158997664564,91075358694
2022-06-30,TOTO,IDR,2022,Q2,482246882484,121744535295,64371136470
2022-09-30,TOTO,IDR,2022,Q3,517705533341,135338978656,70547495249
2022-12-31,TOTO,IDR,2022,Q4,526272418087,153722421159,87416771926
2023-03-31,TOTO,IDR,2023,Q1,539428441125,142307527400,75604633166
2023-06-30,TOTO,IDR,2023,Q2,447057875312,118492963465,49906870422
2023-09-30,TOTO,IDR,2023,Q3,557810782453,122010056827,57905054707
2023-12-31,TOTO,IDR,2023,Q4,581245865000,117118012000,59001196000
2024-03-31,TOTO,IDR,2024,Q1,577748822000,123805123000,58837380000
2024-06-30,TOTO,IDR,2024,Q2,519332325000,97047788000,48459182000
2024-09-30,TOTO,IDR,2024,Q3,610377136000,161378487000,91054500000
2024-12-31,TOTO,IDR,2024,Q4,603577101000,185026157000,116282371000
2025-03-31,TOTO,IDR,2025,Q1,576935003000,157136449000,85887772000
2025-06-30,TOTO,IDR,2025,Q2,627592360000,156409213000,83211802000
2025-09-30,TOTO,IDR,2025,Q3,612925770000,150498851000,88299816000
2025-12-31,TOTO,IDR,2025,Q4,536905297000,145511143000,93752154000
2026-03-31,TOTO,IDR,2026,Q1,484483505000,95328945000,45364724000
2026-06-30,TOTO,IDR,2026,Q2,545608357036,110500637541,42611865364
