date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2013-03-31,TRIM,IDR,2013,Q1,46152884000,46152884000,6178309000
2013-06-30,TRIM,IDR,2013,Q2,44292030000,44292030000,-4839344000
2013-09-30,TRIM,IDR,2013,Q3,44879217000,44879217000,3107842000
2013-12-31,TRIM,IDR,2013,Q4,47396710000,47396710000,-758801000
2014-03-31,TRIM,IDR,2014,Q1,57822689000,57822689000,9265558000
2014-06-30,TRIM,IDR,2014,Q2,61201999000,61201999000,6422229000
2014-09-30,TRIM,IDR,2014,Q3,50857752000,50857752000,1363293000
2014-12-31,TRIM,IDR,2014,Q4,75904521000,75904521000,9705784000
2015-03-31,TRIM,IDR,2015,Q1,84351652000,84351652000,14826735000
2015-06-30,TRIM,IDR,2015,Q2,72006593000,72006593000,7794873000
2015-09-30,TRIM,IDR,2015,Q3,61124724000,61124724000,1852327000
2015-12-31,TRIM,IDR,2015,Q4,74179979000,74179979000,8725531000
2016-03-31,TRIM,IDR,2016,Q1,84852735000,84852735000,11323528000
2016-06-30,TRIM,IDR,2016,Q2,81723688000,81723688000,11468690000
2016-09-30,TRIM,IDR,2016,Q3,89587528000,89587528000,12303609000
2016-12-31,TRIM,IDR,2016,Q4,95625917000,95625917000,11390859000
2017-03-31,TRIM,IDR,2017,Q1,86803275000,86803275000,13068949000
2017-06-30,TRIM,IDR,2017,Q2,89469747000,89469747000,11989110000
2017-09-30,TRIM,IDR,2017,Q3,87829593000,87829593000,15640027000
2017-12-31,TRIM,IDR,2017,Q4,97613993000,97613993000,13463280000
2018-03-31,TRIM,IDR,2018,Q1,105448579000,105448579000,18453079000
2018-06-30,TRIM,IDR,2018,Q2,100244647000,100244647000,14603221000
2018-09-30,TRIM,IDR,2018,Q3,93279406000,93279406000,14037881000
2018-12-31,TRIM,IDR,2018,Q4,92444409000,92444409000,12609295000
2019-03-31,TRIM,IDR,2019,Q1,100024191000,100024191000,17146901000
2019-06-30,TRIM,IDR,2019,Q2,96693206000,96693206000,16015604000
2019-09-30,TRIM,IDR,2019,Q3,89541441000,89541441000,15622254000
2019-12-31,TRIM,IDR,2019,Q4,98015506000,98015506000,16045630000
2020-03-31,TRIM,IDR,2020,Q1,78855709000,78855709000,1132646000
2020-06-30,TRIM,IDR,2020,Q2,83379348000,83379348000,2540434000
2020-09-30,TRIM,IDR,2020,Q3,91343872000,91343872000,5351628000
2020-12-31,TRIM,IDR,2020,Q4,107984610000,107984610000,19238214000
2021-03-31,TRIM,IDR,2021,Q1,127803491000,120889438000,19388859000
2021-06-30,TRIM,IDR,2021,Q2,106872935000,99793052000,13336217000
2021-09-30,TRIM,IDR,2021,Q3,113356022000,104838034000,13721809000
2021-12-31,TRIM,IDR,2021,Q4,113143642000,104146941000,5446010000
2022-03-31,TRIM,IDR,2022,Q1,137936264000,110576911000,22027767000
2022-06-30,TRIM,IDR,2022,Q2,142321820000,109633186000,15361139000
2022-09-30,TRIM,IDR,2022,Q3,186600721000,159705768000,143157273000
2022-12-31,TRIM,IDR,2022,Q4,146891741000,120919766000,-3045223000
2023-03-31,TRIM,IDR,2023,Q1,125627589000,97463551000,18517456000
2023-06-30,TRIM,IDR,2023,Q2,150082002000,118374657000,40457174000
2023-09-30,TRIM,IDR,2023,Q3,321866790000,293377890000,40204691000
2023-12-31,TRIM,IDR,2023,Q4,197878143000,173223640000,63283282000
2024-03-31,TRIM,IDR,2024,Q1,216229876000,177860736000,40107151000
2024-06-30,TRIM,IDR,2024,Q2,195146621000,168333837000,43315649000
2024-09-30,TRIM,IDR,2024,Q3,201938818000,171635974000,68305041000
2024-12-31,TRIM,IDR,2024,Q4,292900669000,268549125000,108115851000
2025-03-31,TRIM,IDR,2025,Q1,333611265000,295121242000,114496279000
2025-06-30,TRIM,IDR,2025,Q2,286993514000,256834487000,43568059000
2025-09-30,TRIM,IDR,2025,Q3,533653772000,521144672000,214409670000
2025-12-31,TRIM,IDR,2025,Q4,530303317000,520349398000,220983061000
2026-03-31,TRIM,IDR,2026,Q1,309498454000,263801707000,136977034000
