date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2013-03-31,TRIS,IDR,2013,Q1,160283012786,37398081636,7155055775
2013-06-30,TRIS,IDR,2013,Q2,157006952713,40816275465,4014671903
2013-09-30,TRIS,IDR,2013,Q3,178027139574,44642127722,10080910853
2013-12-31,TRIS,IDR,2013,Q4,214628480309,63090643885,14143222026
2014-03-31,TRIS,IDR,2014,Q1,186993196262,45855857428,7438366448
2014-06-30,TRIS,IDR,2014,Q2,164455441120,39468003053,3408695238
2014-09-30,TRIS,IDR,2014,Q3,201862693247,51322093465,5809459337
2014-12-31,TRIS,IDR,2014,Q4,193517592103,50580883061,8216420669
2015-03-31,TRIS,IDR,2015,Q1,213990673876,56132094856,9419157481
2015-06-30,TRIS,IDR,2015,Q2,193833855376,49365664426,2024590772
2015-09-30,TRIS,IDR,2015,Q3,231904945970,55003042731,5515896302
2015-12-31,TRIS,IDR,2015,Q4,220013997673,70105388105,9831460230
2016-03-31,TRIS,IDR,2016,Q1,263916668479,61669469700,9175089673
2016-06-30,TRIS,IDR,2016,Q2,241546911123,60430008508,8382418667
2016-09-30,TRIS,IDR,2016,Q3,205085956201,45811758420,-4452168578
2016-12-31,TRIS,IDR,2016,Q4,191359953437,46325513423,-7521065626
2017-03-31,TRIS,IDR,2017,Q1,222533498004,54581006925,3328881881
2017-06-30,TRIS,IDR,2017,Q2,162021799004,28714676075,-3072883480
2017-09-30,TRIS,IDR,2017,Q3,187589630952,48627323654,10523564
2017-12-31,TRIS,IDR,2017,Q4,201662028370,48495948481,1226201221
2018-03-31,TRIS,IDR,2018,Q1,199171712973,43391890763,1116245449
2018-06-30,TRIS,IDR,2018,Q2,214408346951,45986368330,2684743290
2018-09-30,TRIS,IDR,2018,Q3,212286749447,48943148187,2330256374
2018-12-31,TRIS,IDR,2018,Q4,770917318768,199992663328,-209733728
2019-03-31,TRIS,IDR,2019,Q1,348776180439,83792599157,3927817000
2019-06-30,TRIS,IDR,2019,Q2,365260428644,77220959382,-1621044822
2019-09-30,TRIS,IDR,2019,Q3,413503858998,86924536767,2056810873
2019-12-31,TRIS,IDR,2019,Q4,351194737292,98653460099,-3567833702
2020-03-31,TRIS,IDR,2020,Q1,344044704395,74589665492,4269341720
2020-06-30,TRIS,IDR,2020,Q2,287460891190,53838943442,-2145707023
2020-09-30,TRIS,IDR,2020,Q3,260159477063,57469110460,4520157766
2020-12-31,TRIS,IDR,2020,Q4,249604693141,45304961269,-17255141258
2021-03-31,TRIS,IDR,2021,Q1,256460225098,44914858204,1275296421
2021-06-30,TRIS,IDR,2021,Q2,254997790050,48471407994,-536226289
2021-09-30,TRIS,IDR,2021,Q3,259392172293,50109434148,3306508136
2021-12-31,TRIS,IDR,2021,Q4,327502654914,71015557666,625071935
2022-03-31,TRIS,IDR,2022,Q1,324961832890,66309578515,8149496807
2022-06-30,TRIS,IDR,2022,Q2,336382746602,65151692128,8215455604
2022-09-30,TRIS,IDR,2022,Q3,383069791053,88103110080,11542015509
2022-12-31,TRIS,IDR,2022,Q4,453597451720,104036658458,6254193446
2023-03-31,TRIS,IDR,2023,Q1,375330331749,96442877983,16618103087
2023-06-30,TRIS,IDR,2023,Q2,304293015020,72053966378,7946496405
2023-09-30,TRIS,IDR,2023,Q3,364400500178,77509527943,3186062673
2023-12-31,TRIS,IDR,2023,Q4,427615783000,103435822000,10010603000
2024-03-31,TRIS,IDR,2024,Q1,344636043000,90375195000,14613613000
2024-06-30,TRIS,IDR,2024,Q2,351988204000,87611912000,6653887000
2024-09-30,TRIS,IDR,2024,Q3,386000654000,100900282000,10658192000
2024-12-31,TRIS,IDR,2024,Q4,435433239000,101879299000,14841832000
2025-03-31,TRIS,IDR,2025,Q1,402343976000,104753883000,16297739000
2025-06-30,TRIS,IDR,2025,Q2,365512559000,87793758000,13324402000
2025-09-30,TRIS,IDR,2025,Q3,421020654000,97850795000,13302476000
2025-12-31,TRIS,IDR,2025,Q4,544433972000,160348673000,18031788000
2026-03-31,TRIS,IDR,2026,Q1,455334982000,100189702000,17231556000
2026-06-30,TRIS,IDR,2026,Q2,434317528806,96665198477,11420438949
