date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-03-31,TRST,IDR,2011,Q1,546836092236,112270482899,69631578316
2011-06-30,TRST,IDR,2011,Q2,534844804594,90427000737,51331240333
2012-03-31,TRST,IDR,2012,Q1,504174409784,51958491153,17524478898
2012-06-30,TRST,IDR,2012,Q2,502852805064,58137878880,18392829716
2012-09-30,TRST,IDR,2012,Q3,488709672634,66641890280,24448468179
2012-12-31,TRST,IDR,2012,Q4,453416313928,40398375290,1087281962
2013-03-31,TRST,IDR,2013,Q1,454578064700,40143527439,7456087199
2013-06-30,TRST,IDR,2013,Q2,503710743866,54918937602,7642976736
2013-09-30,TRST,IDR,2013,Q3,493385422821,61085514779,7776615580
2013-12-31,TRST,IDR,2013,Q4,581475135652,79906029302,10089872844
2014-03-31,TRST,IDR,2014,Q1,653279537836,68581366320,22379714500
2014-06-30,TRST,IDR,2014,Q2,638149787405,68566058310,19761245440
2014-09-30,TRST,IDR,2014,Q3,611964222780,48613994398,10475785932
2014-12-31,TRST,IDR,2014,Q4,604491249346,29971535088,-22532268729
2015-03-31,TRST,IDR,2015,Q1,658762058458,52525723316,4212909515
2015-06-30,TRST,IDR,2015,Q2,625056545871,58654640770,7248731880
2015-09-30,TRST,IDR,2015,Q3,622353884521,36965653981,6067794423
2015-12-31,TRST,IDR,2015,Q4,551176956141,63758244013,7784667585
2016-03-31,TRST,IDR,2016,Q1,593868095428,50029185684,5295850476
2016-06-30,TRST,IDR,2016,Q2,573691533790,61293041272,10871307099
2016-09-30,TRST,IDR,2016,Q3,550394180280,49774367845,11612805801
2016-12-31,TRST,IDR,2016,Q4,531465037305,36183206637,6014903564
2017-03-31,TRST,IDR,2017,Q1,630174773214,54147692655,7689502831
2017-06-30,TRST,IDR,2017,Q2,571211115948,52168862979,5856380932
2017-09-30,TRST,IDR,2017,Q3,580892488181,43649276867,2859019209
2017-12-31,TRST,IDR,2017,Q4,572659639093,45590161552,21794778770
2018-03-31,TRST,IDR,2018,Q1,669924359456,60941621371,12208723354
2018-06-30,TRST,IDR,2018,Q2,620120616605,51151409775,11061659145
2018-09-30,TRST,IDR,2018,Q3,691811913008,52192534388,7668391700
2018-12-31,TRST,IDR,2018,Q4,649061668885,55981616523,32255124900
2019-03-31,TRST,IDR,2019,Q1,642720982730,51810903048,10729907791
2019-06-30,TRST,IDR,2019,Q2,664924859474,54963567481,15168209953
2019-09-30,TRST,IDR,2019,Q3,693358866691,56575647691,18088366812
2019-12-31,TRST,IDR,2019,Q4,565090039097,44314157706,1964050463
2020-03-31,TRST,IDR,2020,Q1,685863636877,57297163000,4763540752
2020-06-30,TRST,IDR,2020,Q2,797985213320,95261250106,23228386939
2020-09-30,TRST,IDR,2020,Q3,730657138390,75774697055,12295473650
2020-12-31,TRST,IDR,2020,Q4,777406128954,118589827465,32990341081
2021-03-31,TRST,IDR,2021,Q1,836577494259,98036145548,40945536596
2021-06-30,TRST,IDR,2021,Q2,883384439412,138332218258,69585238215
2021-09-30,TRST,IDR,2021,Q3,953946528670,110510307218,17822391636
2021-12-31,TRST,IDR,2021,Q4,978533730482,140849171980,43046401360
2022-03-31,TRST,IDR,2022,Q1,1100981670099,156753040615,51425000000
2022-06-30,TRST,IDR,2022,Q2,927849141359,103354403581,47449293226
2022-09-30,TRST,IDR,2022,Q3,919561462531,95496483957,52723078689
2022-12-31,TRST,IDR,2022,Q4,870992726011,90844071847,-10582430863
2023-03-31,TRST,IDR,2023,Q1,777795000000,77339000000,1113000000
2023-06-30,TRST,IDR,2023,Q2,607698000000,486000000,-68718000000
2023-09-30,TRST,IDR,2023,Q3,723530000000,21836000000,-27313000000
2023-12-31,TRST,IDR,2023,Q4,888441000000,23881000000,-145291000000
2024-03-31,TRST,IDR,2024,Q1,870420000000,71318000000,6182000000
2024-06-30,TRST,IDR,2024,Q2,830834000000,72818000000,-13613000000
2024-09-30,TRST,IDR,2024,Q3,866000000000,96297000000,-27227000000
2024-12-31,TRST,IDR,2024,Q4,856681000000,110978000000,67117000000
2025-03-31,TRST,IDR,2025,Q1,842906000000,85830000000,-15205000000
2025-06-30,TRST,IDR,2025,Q2,927841000000,103010000000,-28198000000
2025-09-30,TRST,IDR,2025,Q3,977354000000,107523000000,15114000000
2025-12-31,TRST,IDR,2025,Q4,992910000000,128259000000,-8540000000
2026-03-31,TRST,IDR,2026,Q1,970464000000,106368000000,27850000000
