date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2018-09-30,UCID,IDR,2018,Q3,2121765000000,492633000000,24801000000
2018-12-31,UCID,IDR,2018,Q4,2293664000000,547922000000,67357000000
2019-03-31,UCID,IDR,2019,Q1,2017763000000,500513000000,99600000000
2019-06-30,UCID,IDR,2019,Q2,2191639000000,539054000000,54309000000
2019-09-30,UCID,IDR,2019,Q3,2045151000000,515562000000,175341000000
2019-12-31,UCID,IDR,2019,Q4,2265207000000,592378000000,69370000000
2020-03-31,UCID,IDR,2020,Q1,2047175000000,510564000000,-131348000000
2020-06-30,UCID,IDR,2020,Q2,2076404000000,522565000000,321346000000
2020-09-30,UCID,IDR,2020,Q3,2079041000000,507954000000,9843000000
2020-12-31,UCID,IDR,2020,Q4,2231313000000,184866000000,111607000000
2021-03-31,UCID,IDR,2021,Q1,2104417000000,410689000000,103239000000
2021-06-30,UCID,IDR,2021,Q2,2350340000000,520736000000,140035000000
2021-09-30,UCID,IDR,2021,Q3,2244175000000,441041000000,134861000000
2021-12-31,UCID,IDR,2021,Q4,2417660000000,484372000000,96625000000
2022-03-31,UCID,IDR,2022,Q1,2547273000000,500165000000,88884000000
2022-06-30,UCID,IDR,2022,Q2,2514048000000,425922000000,26754000000
2022-09-30,UCID,IDR,2022,Q3,2527992000000,433670000000,138094000000
2022-12-31,UCID,IDR,2022,Q4,2727880000000,531708000000,59727000000
2023-03-31,UCID,IDR,2023,Q1,2761122000000,535043000000,91759000000
2023-06-30,UCID,IDR,2023,Q2,2621348000000,506956000000,93233000000
2023-09-30,UCID,IDR,2023,Q3,2336431000000,453449000000,91814000000
2023-12-31,UCID,IDR,2023,Q4,2526259000000,503296000000,157768000000
2024-03-31,UCID,IDR,2024,Q1,2487724000000,551629000000,128566000000
2024-06-30,UCID,IDR,2024,Q2,2497160000000,519458000000,126642000000
2024-09-30,UCID,IDR,2024,Q3,2142273000000,322311000000,-21446000000
2024-12-31,UCID,IDR,2024,Q4,2548311000000,562365000000,116643000000
2025-03-31,UCID,IDR,2025,Q1,2203230000000,421330000000,21625000000
2025-06-30,UCID,IDR,2025,Q2,2066304000000,336373000000,-27829000000
2025-09-30,UCID,IDR,2025,Q3,2083443000000,302695000000,-89775000000
2025-12-31,UCID,IDR,2025,Q4,1631406000000,96238000000,-1099149000000
2026-03-31,UCID,IDR,2026,Q1,2031734000000,507917000000,50998000000
2026-06-30,UCID,IDR,2026,Q2,2413069000000,619949000000,107621000000
