date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-03-31,ULTJ,IDR,2012,Q1,640687913932,201964354235,46624183826
2012-06-30,ULTJ,IDR,2012,Q2,714458504151,221468604881,100668084076
2012-09-30,ULTJ,IDR,2012,Q3,709223583204,227330281758,105717150442
2012-12-31,ULTJ,IDR,2012,Q4,745481306152,250979019328,99955681649
2013-03-31,ULTJ,IDR,2013,Q1,803046929729,252787432662,115155035011
2013-06-30,ULTJ,IDR,2013,Q2,886240432830,286438466954,104744631745
2013-09-30,ULTJ,IDR,2013,Q3,840294595198,235482790316,58391829292
2013-12-31,ULTJ,IDR,2013,Q4,930649291318,239074430464,46954616393
2014-03-31,ULTJ,IDR,2014,Q1,901757582576,205809123388,89464735769
2014-06-30,ULTJ,IDR,2014,Q2,1001720941374,224523043279,35136869535
2014-09-30,ULTJ,IDR,2014,Q3,978341323370,239595833808,81541861045
2014-12-31,ULTJ,IDR,2014,Q4,1034969519103,267061906270,85274690131
2015-03-31,ULTJ,IDR,2015,Q1,1034973709517,336085624281,148744031394
2015-06-30,ULTJ,IDR,2015,Q2,1150918371094,346079703874,75485601562
2015-09-30,ULTJ,IDR,2015,Q3,1089015036603,341319295816,169329192522
2015-12-31,ULTJ,IDR,2015,Q4,1119025566957,359004498311,125508289026
2016-03-31,ULTJ,IDR,2016,Q1,1097281364643,347176788347,166135603157
2016-06-30,ULTJ,IDR,2016,Q2,1200402233674,421055840246,134740071967
2016-09-30,ULTJ,IDR,2016,Q3,1155732607297,422742615877,245517964945
2016-12-31,ULTJ,IDR,2016,Q4,1232571711741,442129663763,155964646915
2017-03-31,ULTJ,IDR,2017,Q1,1181409122326,431470801417,244690000000
2017-06-30,ULTJ,IDR,2017,Q2,1136451875795,425069805976,141608500242
2017-09-30,ULTJ,IDR,2017,Q3,1258241618071,479848490340,261535054726
2017-12-31,ULTJ,IDR,2017,Q4,1303456383808,486488902267,62336464137
2018-03-31,ULTJ,IDR,2018,Q1,1303139000000,475890000000,167125000000
2018-06-30,ULTJ,IDR,2018,Q2,1321480000000,473189000000,191922000000
2018-09-30,ULTJ,IDR,2018,Q3,1419693000000,507342000000,250759000000
2018-12-31,ULTJ,IDR,2018,Q4,1428570000000,499855000000,87978000000
2019-03-31,ULTJ,IDR,2019,Q1,1428393000000,501162000000,299951000000
2019-06-30,ULTJ,IDR,2019,Q2,1544603000000,591578000000,208628000000
2019-09-30,ULTJ,IDR,2019,Q3,1612143000000,623976000000,305739000000
2019-12-31,ULTJ,IDR,2019,Q4,1656280000000,633002000000,217959000000
2020-03-31,ULTJ,IDR,2020,Q1,1614470000000,627672000000,435761000000
2020-06-30,ULTJ,IDR,2020,Q2,1404612000000,500935000000,119189000000
2020-09-30,ULTJ,IDR,2020,Q3,1435353000000,499961000000,418761000000
2020-12-31,ULTJ,IDR,2020,Q4,1512927000000,599959000000,125985000000
2021-03-31,ULTJ,IDR,2021,Q1,1521095000000,545702000000,403537000000
2021-06-30,ULTJ,IDR,2021,Q2,1539349000000,548565000000,256752000000
2021-09-30,ULTJ,IDR,2021,Q3,1731641000000,603727000000,250093000000
2021-12-31,ULTJ,IDR,2021,Q4,1824557000000,676952000000,361256000000
2022-03-31,ULTJ,IDR,2022,Q1,1836873000000,615441000000,291867000000
2022-06-30,ULTJ,IDR,2022,Q2,1854035000000,657757000000,316285000000
2022-09-30,ULTJ,IDR,2022,Q3,1987226000000,585343000000,226535000000
2022-12-31,ULTJ,IDR,2022,Q4,1978118000000,598547000000,126099000000
2023-03-31,ULTJ,IDR,2023,Q1,2234198000000,740296000000,355308000000
2023-06-30,ULTJ,IDR,2023,Q2,1905511000000,602399000000,255545000000
2023-09-30,ULTJ,IDR,2023,Q3,1978631000000,645613000000,328155000000
2023-12-31,ULTJ,IDR,2023,Q4,2184401000000,694424000000,230204000000
2024-03-31,ULTJ,IDR,2024,Q1,2297857000000,769576000000,405090000000
2024-06-30,ULTJ,IDR,2024,Q2,2146973000000,713374000000,350043000000
2024-09-30,ULTJ,IDR,2024,Q3,2138085000000,727177000000,126048000000
2024-12-31,ULTJ,IDR,2024,Q4,2291287000000,797359000000,255443000000
2025-03-31,ULTJ,IDR,2025,Q1,2284158000000,792670000000,364683000000
2025-06-30,ULTJ,IDR,2025,Q2,1797533000000,577116000000,239130000000
2025-09-30,ULTJ,IDR,2025,Q3,2155991000000,679663000000,357069000000
2025-12-31,ULTJ,IDR,2025,Q4,2530172000000,802521000000,392415000000
2026-03-31,ULTJ,IDR,2026,Q1,2783041000000,950004000000,495596000000
