date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,VICO,IDR,2012,Q3,11185866488,11185866488,24236618558
2012-12-31,VICO,IDR,2012,Q4,10217169442,4844285311,17889761897
2013-03-31,VICO,IDR,2013,Q1,6622911053,2118756856,37143057015
2013-06-30,VICO,IDR,2013,Q2,11744417266,9232119468,33502651865
2013-09-30,VICO,IDR,2013,Q3,16410328574,13031244234,31840092501
2013-12-31,VICO,IDR,2013,Q4,24397138812,15063160823,16227363604
2014-03-31,VICO,IDR,2014,Q1,12711933669,9419953444,24409761334
2014-06-30,VICO,IDR,2014,Q2,11510271796,8000262584,29387462878
2014-09-30,VICO,IDR,2014,Q3,27770842006,22450384015,25270966678
2014-12-31,VICO,IDR,2014,Q4,-5555138123,-10033852976,-11606622194
2015-03-31,VICO,IDR,2015,Q1,18017031597,13231480578,24915330988
2015-06-30,VICO,IDR,2015,Q2,9122215195,3522897616,21211224455
2015-09-30,VICO,IDR,2015,Q3,11973907790,4726065108,12102008446
2015-12-31,VICO,IDR,2015,Q4,10948723596,2155980724,3092702860
2016-03-31,VICO,IDR,2016,Q1,17147598000,10748061000,22732625000
2016-06-30,VICO,IDR,2016,Q2,12166690041,3956401521,16947897802
2016-09-30,VICO,IDR,2016,Q3,14126389293,6743801782,13134941876
2016-12-31,VICO,IDR,2016,Q4,876109582600,802180555595,423548291184
2017-03-31,VICO,IDR,2017,Q1,182379673000,112739320000,36432500000
2017-06-30,VICO,IDR,2017,Q2,-199104592000,-280833589000,64116359000
2017-09-30,VICO,IDR,2017,Q3,1387304321000,1360087469000,114165766000
2017-12-31,VICO,IDR,2017,Q4,911216130000,766793112000,-119896596000
2018-03-31,VICO,IDR,2018,Q1,279826807000,186070470000,36818265000
2018-06-30,VICO,IDR,2018,Q2,943919246000,871848666000,-1191186000
2018-09-30,VICO,IDR,2018,Q3,705756740000,513930502000,11027037000
2018-12-31,VICO,IDR,2018,Q4,781193958000,733556784000,-7482658000
2019-03-31,VICO,IDR,2019,Q1,118801996000,41809690000,21778221000
2019-06-30,VICO,IDR,2019,Q2,1075994440000,974324761000,14058274000
2019-09-30,VICO,IDR,2019,Q3,855512058000,531759050000,23159469000
2019-12-31,VICO,IDR,2019,Q4,892432382000,801753942000,-9338132000
2020-03-31,VICO,IDR,2020,Q1,703561188000,559048454000,-4070113000
2020-06-30,VICO,IDR,2020,Q2,955991638000,861523154000,1680798000
2020-09-30,VICO,IDR,2020,Q3,545543597000,463599464000,24042922000
2020-12-31,VICO,IDR,2020,Q4,564725095000,553098323000,-130926725000
2021-03-31,VICO,IDR,2021,Q1,541969493000,139454075000,9893416000
2021-06-30,VICO,IDR,2021,Q2,516927191000,419547067000,10249793000
2021-09-30,VICO,IDR,2021,Q3,525085457000,377038769000,4061245000
2021-12-31,VICO,IDR,2021,Q4,532385089000,435459661000,-56119905000
2022-03-31,VICO,IDR,2022,Q1,635923199000,384705726000,6494098000
2022-06-30,VICO,IDR,2022,Q2,478143454000,580588234000,18967480000
2022-09-30,VICO,IDR,2022,Q3,605344652000,454589490000,55097505000
2022-12-31,VICO,IDR,2022,Q4,519239450000,492438289000,31948317000
2023-03-31,VICO,IDR,2023,Q1,246588323000,188397992000,33420859000
2023-06-30,VICO,IDR,2023,Q2,842657329000,357212450000,21598907000
2023-09-30,VICO,IDR,2023,Q3,579925047000,871475081000,30079542000
2023-12-31,VICO,IDR,2023,Q4,554973550000,563237618000,-32735309000
2024-03-31,VICO,IDR,2024,Q1,615879991000,542543939000,23658503000
2024-06-30,VICO,IDR,2024,Q2,623205587000,558430657000,21040973000
2024-09-30,VICO,IDR,2024,Q3,653783776000,488084489000,9838512000
2024-12-31,VICO,IDR,2024,Q4,667758031000,689216122000,15364052000
2025-03-31,VICO,IDR,2025,Q1,648827750000,569915123000,21698765000
2025-06-30,VICO,IDR,2025,Q2,542710474000,469636800000,404169627000
2025-09-30,VICO,IDR,2025,Q3,668921898000,479230773000,25703138000
2025-12-31,VICO,IDR,2025,Q4,655005790000,280905493000,22421717000
2026-03-31,VICO,IDR,2026,Q1,655481517000,555381146000,28647611000
2026-06-30,VICO,IDR,2026,Q2,,,71702834000
