date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,VRNA,IDR,2012,Q3,33945435000,33945435000,8592576000
2012-12-31,VRNA,IDR,2012,Q4,37906171000,37906171000,10247690000
2013-03-31,VRNA,IDR,2013,Q1,31730142000,31730142000,7871024000
2013-06-30,VRNA,IDR,2013,Q2,42125918000,42125918000,12430879000
2013-09-30,VRNA,IDR,2013,Q3,32148997000,32148997000,4239248000
2013-12-31,VRNA,IDR,2013,Q4,43165585000,43165585000,10013739000
2014-03-31,VRNA,IDR,2014,Q1,33361926000,33361926000,3807647000
2014-06-30,VRNA,IDR,2014,Q2,50316936000,50316936000,8510932000
2014-09-30,VRNA,IDR,2014,Q3,24287899000,24287899000,7281243000
2014-12-31,VRNA,IDR,2014,Q4,13757106000,13757106000,4883896000
2015-03-31,VRNA,IDR,2015,Q1,42075694000,42075694000,8678833000
2015-06-30,VRNA,IDR,2015,Q2,31516902000,31516902000,-8087549000
2015-09-30,VRNA,IDR,2015,Q3,-10907972000,-10907972000,292808000
2015-12-31,VRNA,IDR,2015,Q4,28814616000,28814616000,1535252000
2016-03-31,VRNA,IDR,2016,Q1,23107340000,23107340000,456449000
2016-06-30,VRNA,IDR,2016,Q2,26102488000,26102488000,694502000
2016-09-30,VRNA,IDR,2016,Q3,24370839000,24370839000,1944737000
2016-12-31,VRNA,IDR,2016,Q4,28116225000,28116225000,3370723000
2017-03-31,VRNA,IDR,2017,Q1,23713543000,23713543000,861255000
2017-06-30,VRNA,IDR,2017,Q2,26245777000,26245777000,716102000
2017-09-30,VRNA,IDR,2017,Q3,26783336000,26783336000,2471955000
2017-12-31,VRNA,IDR,2017,Q4,23673772000,23673772000,3502903000
2018-03-31,VRNA,IDR,2018,Q1,20695350000,20695350000,652876000
2018-06-30,VRNA,IDR,2018,Q2,-16734984000,-16734984000,-25070009000
2018-09-30,VRNA,IDR,2018,Q3,-129530385000,-129530385000,-146852327000
2018-12-31,VRNA,IDR,2018,Q4,133902000,133902000,-21489446000
2019-03-31,VRNA,IDR,2019,Q1,28075414000,28075414000,-12250242000
2019-06-30,VRNA,IDR,2019,Q2,4348057000,4348057000,-19714581000
2019-09-30,VRNA,IDR,2019,Q3,33462457000,33462457000,1455621000
2019-12-31,VRNA,IDR,2019,Q4,104792210000,104792210000,32280886000
2020-03-31,VRNA,IDR,2020,Q1,50733529000,50733529000,17072031000
2020-06-30,VRNA,IDR,2020,Q2,12047822000,12047822000,-18238063000
2020-09-30,VRNA,IDR,2020,Q3,31604186000,31604186000,2574002000
2020-12-31,VRNA,IDR,2020,Q4,98325551000,98325551000,1587148000
2021-03-31,VRNA,IDR,2021,Q1,75966032000,71728804000,10126649000
2021-06-30,VRNA,IDR,2021,Q2,76615303000,72374366000,15730347000
2021-09-30,VRNA,IDR,2021,Q3,72762393000,68441292000,-1623355000
2021-12-31,VRNA,IDR,2021,Q4,77550999000,73108099000,-31999563000
2022-03-31,VRNA,IDR,2022,Q1,79420412000,75001122000,21809672000
2022-06-30,VRNA,IDR,2022,Q2,80485926000,76015590000,23275965000
2022-09-30,VRNA,IDR,2022,Q3,83968421000,79230248000,20453217000
2022-12-31,VRNA,IDR,2022,Q4,89185826000,83827197000,-3493066000
2023-03-31,VRNA,IDR,2023,Q1,90772786000,86088080000,12611326000
2023-06-30,VRNA,IDR,2023,Q2,96170277000,91878584000,15405434000
2023-09-30,VRNA,IDR,2023,Q3,102436400000,97993795000,18837568000
2023-12-31,VRNA,IDR,2023,Q4,111980948000,107512379000,14295500000
2024-03-31,VRNA,IDR,2024,Q1,114953238000,110387572000,8152090000
2024-06-30,VRNA,IDR,2024,Q2,48985980000,44476800000,7714758000
2024-09-30,VRNA,IDR,2024,Q3,115070736000,110627393000,-7588570000
2024-12-31,VRNA,IDR,2024,Q4,123750348000,119272904000,-10433943000
2025-03-31,VRNA,IDR,2025,Q1,44129536000,44129536000,-2568265000
2025-06-30,VRNA,IDR,2025,Q2,109126435000,104829706000,-5123069000
2025-09-30,VRNA,IDR,2025,Q3,108870102000,100452130000,5670601000
2025-12-31,VRNA,IDR,2025,Q4,116254019000,108017443000,4913372000
2026-03-31,VRNA,IDR,2026,Q1,108160356000,99862408000,-3719631000
2026-06-30,VRNA,IDR,2026,Q2,,,6137563000
