date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-12-31,WEHA,IDR,2012,Q4,59905098196,25726930513,2330957980
2013-03-31,WEHA,IDR,2013,Q1,52078022878,20347905846,1566622561
2013-06-30,WEHA,IDR,2013,Q2,61911386841,28808019302,2229240898
2013-09-30,WEHA,IDR,2013,Q3,53989237561,17713345009,-5678955882
2013-12-31,WEHA,IDR,2013,Q4,68864858794,27059203735,3436160371
2014-03-31,WEHA,IDR,2014,Q1,53771978024,18936561200,84570820
2014-06-30,WEHA,IDR,2014,Q2,63921479831,25858226081,67618184
2014-09-30,WEHA,IDR,2014,Q3,45260791270,8283317743,987283977
2014-12-31,WEHA,IDR,2014,Q4,76838759495,28630208818,1293410308
2015-03-31,WEHA,IDR,2015,Q1,38990019682,13538989117,-3552946932
2015-06-30,WEHA,IDR,2015,Q2,42709329371,19106314608,-1084995601
2015-09-30,WEHA,IDR,2015,Q3,39254746578,3868880415,-13901362881
2015-12-31,WEHA,IDR,2015,Q4,44228746379,-707686667,-21304303935
2016-03-31,WEHA,IDR,2016,Q1,36681216987,11216853275,-2196200657
2016-06-30,WEHA,IDR,2016,Q2,33327584281,10902695619,-6090113694
2016-09-30,WEHA,IDR,2016,Q3,42408155032,8331216014,-10020241973
2016-12-31,WEHA,IDR,2016,Q4,25395153739,5863431281,-6864340771
2017-03-31,WEHA,IDR,2017,Q1,30376309831,13440576202,77280340967
2017-06-30,WEHA,IDR,2017,Q2,34847830063,14218556766,-2615388409
2017-09-30,WEHA,IDR,2017,Q3,34831958099,15331498187,-5235201536
2017-12-31,WEHA,IDR,2017,Q4,38234220262,12000137063,-21009820571
2018-03-31,WEHA,IDR,2018,Q1,36049176922,15681410380,1946310328
2018-06-30,WEHA,IDR,2018,Q2,39709649031,17650709382,3829217240
2018-09-30,WEHA,IDR,2018,Q3,40825475141,18014325215,2620850203
2018-12-31,WEHA,IDR,2018,Q4,43262491789,16146846274,-7374862786
2019-03-31,WEHA,IDR,2019,Q1,39567427085,16537078003,1783005175
2019-06-30,WEHA,IDR,2019,Q2,43908397623,20053551406,2629396000
2019-09-30,WEHA,IDR,2019,Q3,43993674006,18057733901,1051660921
2019-12-31,WEHA,IDR,2019,Q4,18703718986,2892136922,-1566049419
2020-03-31,WEHA,IDR,2020,Q1,27213941062,1382813611,-9768366420
2020-06-30,WEHA,IDR,2020,Q2,8759509352,-8329625070,-13364991493
2020-09-30,WEHA,IDR,2020,Q3,14205398918,2665996520,-5838520092
2020-12-31,WEHA,IDR,2020,Q4,20335141184,2819245285,-4575111870
2021-03-31,WEHA,IDR,2021,Q1,18692226294,5469873797,-3763981534
2021-06-30,WEHA,IDR,2021,Q2,19885381800,5515335455,-2895511454
2021-09-30,WEHA,IDR,2021,Q3,19528662645,5846483976,-4317773078
2021-12-31,WEHA,IDR,2021,Q4,35328639704,14460346410,1351794746
2022-03-31,WEHA,IDR,2022,Q1,33280413413,12485532597,1532589489
2022-06-30,WEHA,IDR,2022,Q2,43250663028,18753532250,4529796960
2022-09-30,WEHA,IDR,2022,Q3,46731388136,18838835511,5935361753
2022-12-31,WEHA,IDR,2022,Q4,60173404646,28031615167,7926876148
2023-03-31,WEHA,IDR,2023,Q1,54998462602,21498090705,5168410828
2023-06-30,WEHA,IDR,2023,Q2,68142723505,28785078533,8686957210
2023-09-30,WEHA,IDR,2023,Q3,67541665754,25486019318,8505128004
2023-12-31,WEHA,IDR,2023,Q4,76485672246,28858488392,9362217677
2024-03-31,WEHA,IDR,2024,Q1,63295473631,19083290454,4014203987
2024-06-30,WEHA,IDR,2024,Q2,80504863214,27130121728,10219093577
2024-09-30,WEHA,IDR,2024,Q3,77705963000,28737457000,8997131000
2024-12-31,WEHA,IDR,2024,Q4,82860755000,30802134000,5028170000
2025-03-31,WEHA,IDR,2025,Q1,70296896000,20958389000,2633505000
2025-06-30,WEHA,IDR,2025,Q2,82223106000,32227714000,11001563000
2025-09-30,WEHA,IDR,2025,Q3,77417128000,25434865000,4280495000
2025-12-31,WEHA,IDR,2025,Q4,87776857000,29764086000,4277232000
2026-03-31,WEHA,IDR,2026,Q1,82599923000,28456584000,4909914000
2026-06-30,WEHA,IDR,2026,Q2,86089995872,32099249960,6804917918
