date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2020-06-30,WGSH,IDR,2020,Q2,808402428,433040444,267791284
2020-12-31,WGSH,IDR,2020,Q4,365722118,67627914,-123611044
2021-06-30,WGSH,IDR,2021,Q2,10558176844,5794358206,1828330484
2021-12-31,WGSH,IDR,2021,Q4,11562533226,5548700164,2121956560
2022-06-30,WGSH,IDR,2022,Q2,14898977760,8042264090,4354212972
2022-12-31,WGSH,IDR,2022,Q4,11794303422,5117093896,412370660
2023-06-30,WGSH,IDR,2023,Q2,14832918143,6496899168,2955277996
2023-12-31,WGSH,IDR,2023,Q4,18314490438,6068285098,1498055186
2024-06-30,WGSH,IDR,2024,Q2,20024146098,5831537015,1955955697
2024-12-31,WGSH,IDR,2024,Q4,15205849184,7274190580,2333419993
2025-06-30,WGSH,IDR,2025,Q2,15153795522,6392413898,2938000603
2025-12-31,WGSH,IDR,2025,Q4,34924020936,3828151024,283133571
