date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2022-06-30,WICO,IDR,2022,Q2,385112271770,40701069384,-24909338378
2022-09-30,WICO,IDR,2022,Q3,376234566782,33029455448,-31648975183
2022-12-31,WICO,IDR,2022,Q4,357131737678,25942727031,-17586358441
2023-03-31,WICO,IDR,2023,Q1,366307228597,34287413869,-29760203423
2023-06-30,WICO,IDR,2023,Q2,368477349000,31794268566,-41606212234
2023-09-30,WICO,IDR,2023,Q3,363111955182,33039877543,-31174107042
2023-12-31,WICO,IDR,2023,Q4,325199419353,30079113903,-8482845636
2024-03-31,WICO,IDR,2024,Q1,366062103780,40788688935,-19059637096
2024-06-30,WICO,IDR,2024,Q2,320073928580,29871451868,-33692639037
2024-09-30,WICO,IDR,2024,Q3,341665321884,41689018658,-33001249124
2024-12-31,WICO,IDR,2024,Q4,287462504480,32272043708,-74715125993
2025-03-31,WICO,IDR,2025,Q1,208812467000,25793670000,-38453219000
2025-06-30,WICO,IDR,2025,Q2,198651893000,18426055000,-31106339000
2025-09-30,WICO,IDR,2025,Q3,125109206000,8554761000,-31221757000
2025-12-31,WICO,IDR,2025,Q4,52355298000,16892661000,34396099000
2026-03-31,WICO,IDR,2026,Q1,52159865000,14543482000,-361189000
