date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2019-03-31,WMUU,IDR,2019,Q1,108017427773,16912651923,8093675715
2019-06-30,WMUU,IDR,2019,Q2,108017427773,16912651923,8093675714
2019-09-30,WMUU,IDR,2019,Q3,180340954537,21450810499,9986077496
2019-12-31,WMUU,IDR,2019,Q4,180340954537,21450810499,9986077496
2020-03-31,WMUU,IDR,2020,Q1,283683263134,40544212823,18461751665
2020-06-30,WMUU,IDR,2020,Q2,224711087445,30409975854,12959822769
2020-12-31,WMUU,IDR,2020,Q4,331218936517,55202823410,21051886340
2021-03-31,WMUU,IDR,2021,Q1,597431790958,83839200187,39783185952
2021-06-30,WMUU,IDR,2021,Q2,712512849782,-37963197037,48599794502
2021-09-30,WMUU,IDR,2021,Q3,880810011448,256917392889,55715697542
2021-12-31,WMUU,IDR,2021,Q4,899418926636,122058293307,65161824515
2022-03-31,WMUU,IDR,2022,Q1,630454108036,88472420842,40656342924
2022-06-30,WMUU,IDR,2022,Q2,655888310143,-27017879914,33794818126
2022-09-30,WMUU,IDR,2022,Q3,759006305580,182622220380,16647246260
2022-12-31,WMUU,IDR,2022,Q4,412258310774,-57066966190,-100056072354
2023-03-31,WMUU,IDR,2023,Q1,124749976597,-1407485802,-26044730185
2023-06-30,WMUU,IDR,2023,Q2,82700534855,-103731596397,-14309488218
2023-09-30,WMUU,IDR,2023,Q3,67229461863,116253238476,-26613390003
2023-12-31,WMUU,IDR,2023,Q4,62004967525,-121654858365,-153039856126
2024-03-31,WMUU,IDR,2024,Q1,54800605735,-15583205241,-36844394511
2024-06-30,WMUU,IDR,2024,Q2,72333425606,-8561389791,-26821703423
2024-09-30,WMUU,IDR,2024,Q3,111550334000,-19982739000,-37812174000
2024-12-31,WMUU,IDR,2024,Q4,139442258000,-16209380000,-19052082000
2025-03-31,WMUU,IDR,2025,Q1,140275915000,-9009476000,-27217804000
2025-06-30,WMUU,IDR,2025,Q2,161089141000,-6469196000,-20795741000
2025-09-30,WMUU,IDR,2025,Q3,204337509000,-7900109000,-21338499000
2025-12-31,WMUU,IDR,2025,Q4,235235119000,7895108000,-13690501000
2026-03-31,WMUU,IDR,2026,Q1,246142677000,-1041897000,-15575240000
2026-06-30,WMUU,IDR,2026,Q2,244915708624,3334825899,1844015296
