date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2019-03-31,WOWS,IDR,2019,Q1,41203150517,18518709133,5933832987
2019-06-30,WOWS,IDR,2019,Q2,45030071141,14832808721,7539481729
2019-09-30,WOWS,IDR,2019,Q3,43920764796,14390636593,1669431184
2019-12-31,WOWS,IDR,2019,Q4,46652026226,17257818229,1914119293
2020-03-31,WOWS,IDR,2020,Q1,36019123941,12677661591,5099095915
2020-06-30,WOWS,IDR,2020,Q2,36320423480,9086586599,987530340
2020-09-30,WOWS,IDR,2020,Q3,22319976309,4735759846,844431976
2020-12-31,WOWS,IDR,2020,Q4,17789732909,-946064247,-5498242125
2021-03-31,WOWS,IDR,2021,Q1,24327798534,3877032492,2729535948
2021-06-30,WOWS,IDR,2021,Q2,27518247161,4744923322,378525821
2021-09-30,WOWS,IDR,2021,Q3,23772685217,-177233635,-2817887304
2021-12-31,WOWS,IDR,2021,Q4,19924109717,-10628771432,-34145753749
2022-03-31,WOWS,IDR,2022,Q1,17961571660,-7025556537,-12412243965
2022-06-30,WOWS,IDR,2022,Q2,21458979595,-5212283699,-12315407653
2022-09-30,WOWS,IDR,2022,Q3,33071078208,8430135000,1451266007
2022-12-31,WOWS,IDR,2022,Q4,26203143708,3303294802,-4385405140
2023-03-31,WOWS,IDR,2023,Q1,24353824422,-7233357839,-14835491726
2023-06-30,WOWS,IDR,2023,Q2,26078266672,3825576844,-2960657742
2023-09-30,WOWS,IDR,2023,Q3,42838185275,6396260348,-2099081020
2023-12-31,WOWS,IDR,2023,Q4,29188096000,-8488175000,-8260460000
2024-03-31,WOWS,IDR,2024,Q1,40907078000,6073697000,-1941336000
2024-06-30,WOWS,IDR,2024,Q2,36500473000,6093909000,-1080155000
2024-09-30,WOWS,IDR,2024,Q3,50351533233,12657085254,66312916
2024-12-31,WOWS,IDR,2024,Q4,53902995000,17011662000,3445423000
2025-03-31,WOWS,IDR,2025,Q1,60044897000,14001016000,2008949000
2025-06-30,WOWS,IDR,2025,Q2,50456897000,11190901000,1174328000
2025-09-30,WOWS,IDR,2025,Q3,56430020000,11617973000,1532516000
2025-12-31,WOWS,IDR,2025,Q4,60449442000,18317746000,10200917000
2026-03-31,WOWS,IDR,2026,Q1,63535364000,14575696000,3249947000
2026-06-30,WOWS,IDR,2026,Q2,54536803358,10852214743,-370190891
