date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2015-03-31,WSBP,IDR,2015,Q1,345875677381,51711855458,42703525212
2015-12-31,WSBP,IDR,2015,Q4,1027584564333,169247463198,123241592161
2016-03-31,WSBP,IDR,2016,Q1,705867000000,198758748571,101392909009
2016-06-30,WSBP,IDR,2016,Q2,1163354303461,370275147385,239634339364
2016-09-30,WSBP,IDR,2016,Q3,1197255722995,169348306760,50958262168
2016-12-31,WSBP,IDR,2016,Q4,1650673045323,311679887116,242834014351
2017-03-31,WSBP,IDR,2017,Q1,1218414790803,262262494587,196250603808
2017-06-30,WSBP,IDR,2017,Q2,1449971668308,418312703809,240206273138
2017-09-30,WSBP,IDR,2017,Q3,2342994110763,665812371478,388719148054
2017-12-31,WSBP,IDR,2017,Q4,2092777331356,601803553878,175154125510
2018-03-31,WSBP,IDR,2018,Q1,2296334883458,749098309437,510879001491
2018-06-30,WSBP,IDR,2018,Q2,1549814349389,397935145671,179808208598
2018-09-30,WSBP,IDR,2018,Q3,1592540376762,413376009823,194164856777
2018-12-31,WSBP,IDR,2018,Q4,2561459813918,285872242890,218620721316
2019-03-31,WSBP,IDR,2019,Q1,2200774405887,391115803512,291177429356
2019-06-30,WSBP,IDR,2019,Q2,1621891533054,282300102301,85562272978
2019-09-30,WSBP,IDR,2019,Q3,1672387071642,311661959357,134994305085
2019-12-31,WSBP,IDR,2019,Q4,1972122905792,577849887845,294414745507
2020-03-31,WSBP,IDR,2020,Q1,753659322142,187286429739,104579229409
2020-06-30,WSBP,IDR,2020,Q2,347274336467,18920455058,-99401811501
2020-09-30,WSBP,IDR,2020,Q3,335200933194,-487304065817,-1147643510768
2020-12-31,WSBP,IDR,2020,Q4,775278550267,-3065745728830,-3617492834683
2021-03-31,WSBP,IDR,2021,Q1,200960270216,-130862171831,-17549381090
2021-06-30,WSBP,IDR,2021,Q2,209902583420,-104705703802,-159460893186
2021-09-30,WSBP,IDR,2021,Q3,333122466537,-64393956615,-102039032151
2021-12-31,WSBP,IDR,2021,Q4,636086012657,241462472774,-1664313131969
2022-03-31,WSBP,IDR,2022,Q1,290423860198,44885891965,-423075684988
2022-06-30,WSBP,IDR,2022,Q2,453365048075,59595615160,1704552593167
2022-09-30,WSBP,IDR,2022,Q3,656482613624,102922189862,-281100761170
2022-12-31,WSBP,IDR,2022,Q4,661899534763,96821057750,-976111352183
2023-03-31,WSBP,IDR,2023,Q1,367118588211,58115809580,295247096534
2023-06-30,WSBP,IDR,2023,Q2,274559798754,38521333520,-280202169362
2023-09-30,WSBP,IDR,2023,Q3,392257451968,53966665006,-246098737269
2023-12-31,WSBP,IDR,2023,Q4,453652030000,-22269415000,516159719000
2024-03-31,WSBP,IDR,2024,Q1,505683211000,114154085000,-126004857000
2024-06-30,WSBP,IDR,2024,Q2,386318735000,9059665000,-342547763000
2024-09-30,WSBP,IDR,2024,Q3,442397253000,61874352000,-172104921000
2024-12-31,WSBP,IDR,2024,Q4,637497236000,71817649000,-356644309000
2025-03-31,WSBP,IDR,2025,Q1,394705206000,77112669000,-87409763000
2025-06-30,WSBP,IDR,2025,Q2,337948996000,54391950000,-149474926000
2025-09-30,WSBP,IDR,2025,Q3,435511284000,50056085000,-87334382000
2025-12-31,WSBP,IDR,2025,Q4,401409148000,66580036000,-213150500000
2026-03-31,WSBP,IDR,2026,Q1,395095967000,49389361000,-144707547000
2026-06-30,WSBP,IDR,2026,Q2,412971671920,40681765330,-140883092770
