date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-03-31,WSKT,IDR,2012,Q1,806123311362,71356230176,823566386
2012-06-30,WSKT,IDR,2012,Q2,1921725041139,139360948853,36117460167
2012-09-30,WSKT,IDR,2012,Q3,1974107283099,164599459306,65793999028
2012-12-31,WSKT,IDR,2012,Q4,4106460113093,356941291168,151296265998
2013-03-31,WSKT,IDR,2013,Q1,957377625755,98599473343,5435563411
2013-06-30,WSKT,IDR,2013,Q2,2051365393406,168926449188,51192802230
2013-09-30,WSKT,IDR,2013,Q3,2139672433306,159002302407,61529854707
2013-12-31,WSKT,IDR,2013,Q4,4538194849397,484168111929,249901762148
2014-03-31,WSKT,IDR,2014,Q1,1034601861221,110526305111,6841720251
2014-06-30,WSKT,IDR,2014,Q2,2146658499856,201568360490,54055485628
2014-09-30,WSKT,IDR,2014,Q3,2099325685556,188031725580,68250299204
2014-12-31,WSKT,IDR,2014,Q4,5006227237371,608770073747,372383007318
2015-03-31,WSKT,IDR,2015,Q1,1402841067700,157286347292,11956328927
2015-06-30,WSKT,IDR,2015,Q2,2581479669356,323916339235,159602117966
2015-09-30,WSKT,IDR,2015,Q3,3437729585210,413480186819,228733806261
2015-12-31,WSKT,IDR,2015,Q4,6730702525345,1026555160130,647445845766
2016-03-31,WSKT,IDR,2016,Q1,3071542345687,519626939608,127311585135
2016-06-30,WSKT,IDR,2016,Q2,8084573830131,1489359870209,586268027821
2016-09-30,WSKT,IDR,2016,Q3,5923328022984,937361534139,348249215924
2016-12-31,WSKT,IDR,2016,Q4,9780420773232,1541116854095,778743372979
2017-03-31,WSKT,IDR,2017,Q1,7141795816822,1034375848067,406621158078
2017-06-30,WSKT,IDR,2017,Q2,15548068138598,2689672141904,1281933282188
2017-09-30,WSKT,IDR,2017,Q3,12986269948966,2960315429476,1289710833533
2017-12-31,WSKT,IDR,2017,Q4,16678559545040,3813544854418,1310067801617
2018-03-31,WSKT,IDR,2018,Q1,12396894015165,2790934051044,1520294458950
2018-06-30,WSKT,IDR,2018,Q2,10502907054604,1937803328668,1469885736441
2018-09-30,WSKT,IDR,2018,Q3,13332725183672,2345079555288,736437934343
2018-12-31,WSKT,IDR,2018,Q4,12556424585381,1788801813898,236219902131
2019-03-31,WSKT,IDR,2019,Q1,8682208403974,1749225362532,716242670094
2019-06-30,WSKT,IDR,2019,Q2,6112844539178,1164733785338,281578214465
2019-09-30,WSKT,IDR,2019,Q3,7219843468952,1242330054069,152509948419
2019-12-31,WSKT,IDR,2019,Q4,9372493217765,1448353561466,-212188468091
2020-03-31,WSKT,IDR,2020,Q1,4169887433590,836914514389,42696350655
2020-06-30,WSKT,IDR,2020,Q2,3867906986507,229427269820,-1137790988612
2020-09-30,WSKT,IDR,2020,Q3,3702444815839,-297712091094,-1541875900774
2020-12-31,WSKT,IDR,2020,Q4,4450217279167,-2746512599747,-4741583043388
2021-03-31,WSKT,IDR,2021,Q1,2671364998322,306353674550,-46095522007
2021-06-30,WSKT,IDR,2021,Q2,2045975327869,-133372848399,87117399553
2021-09-30,WSKT,IDR,2021,Q3,2407898767248,103929962938,211692150276
2021-12-31,WSKT,IDR,2021,Q4,5098889222114,1621575336377,-1983758253650
2022-03-31,WSKT,IDR,2022,Q1,2748257253455,329665804425,-967713909391
2022-06-30,WSKT,IDR,2022,Q2,3342124068701,327514611426,1261634246004
2022-09-30,WSKT,IDR,2022,Q3,4213349640914,330976371561,236942949681
2022-12-31,WSKT,IDR,2022,Q4,4999141375397,461181217436,-2250910326349
2023-03-31,WSKT,IDR,2023,Q1,2731846331214,400436251275,-395360768104
2023-06-30,WSKT,IDR,2023,Q2,2540826092080,62147660351,-1697571688456
2023-09-30,WSKT,IDR,2023,Q3,2543789580354,311347107157,-761686900641
2023-12-31,WSKT,IDR,2023,Q4,3138231031816,-38315758474,-936204478563
2024-03-31,WSKT,IDR,2024,Q1,2177892692822,310363920256,-939551265976
2024-06-30,WSKT,IDR,2024,Q2,2293724919535,278640575965,-1219517260939
2024-09-30,WSKT,IDR,2024,Q3,2311760035000,435220747000,-843229696000
2024-12-31,WSKT,IDR,2024,Q4,3921777255000,384797760000,412896527000
2025-03-31,WSKT,IDR,2025,Q1,1354583045000,255293424000,-1246151371000
2025-06-30,WSKT,IDR,2025,Q2,1747350071000,406035149000,-894426083000
2025-09-30,WSKT,IDR,2025,Q3,2183450487000,262568862000,-1034159734000
2025-12-31,WSKT,IDR,2025,Q4,3531443098000,429449395000,-753819362000
2026-03-31,WSKT,IDR,2026,Q1,2097751534000,103391364000,-678033360000
