date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2013-03-31,WTON,IDR,2013,Q1,772923888815,105534559521,73887957343
2013-06-30,WTON,IDR,2013,Q2,706084230297,100001204903,62654018459
2013-09-30,WTON,IDR,2013,Q3,562421702571,102606195471,57620698323
2013-12-31,WTON,IDR,2013,Q4,602294612317,79833747105,48711956875
2014-03-31,WTON,IDR,2014,Q1,814035691013,128059280319,80319186713
2014-06-30,WTON,IDR,2014,Q2,864378451329,129372068084,92091261827
2014-09-30,WTON,IDR,2014,Q3,644220005975,79867364231,50938624675
2014-12-31,WTON,IDR,2014,Q4,954560903843,149791430468,105160384035
2015-03-31,WTON,IDR,2015,Q1,427567292249,34079225952,17006311297
2015-06-30,WTON,IDR,2015,Q2,463704744135,80535174854,36513547072
2015-09-30,WTON,IDR,2015,Q3,657466120305,74269446300,34218021769
2015-12-31,WTON,IDR,2015,Q4,1103883983518,139699401064,86140544411
2016-03-31,WTON,IDR,2016,Q1,732529097353,90968667581,50243586345
2016-06-30,WTON,IDR,2016,Q2,785868977843,109604773627,59122241275
2016-09-30,WTON,IDR,2016,Q3,723191068707,105147701648,55058410487
2016-12-31,WTON,IDR,2016,Q4,1240142362225,198711461679,108002193962
2017-03-31,WTON,IDR,2017,Q1,729320416918,101528506796,51019586459
2017-06-30,WTON,IDR,2017,Q2,1266934499671,172559714486,85950112159
2017-09-30,WTON,IDR,2017,Q3,1429125133184,159244741572,83513779096
2017-12-31,WTON,IDR,2017,Q4,1936883188005,233306428548,116640720010
2018-03-31,WTON,IDR,2018,Q1,1193309728784,136975581717,57631318237
2018-06-30,WTON,IDR,2018,Q2,1402435692339,197171938703,102899543559
2018-09-30,WTON,IDR,2018,Q3,1509786781321,209952621257,119276636819
2018-12-31,WTON,IDR,2018,Q4,2825096056410,338321735839,206545559315
2019-03-31,WTON,IDR,2019,Q1,1294004344108,160585257175,70792370189
2019-06-30,WTON,IDR,2019,Q2,1344276598305,180743162706,95873238792
2019-09-30,WTON,IDR,2019,Q3,1732858604748,257260623310,136596981819
2019-12-31,WTON,IDR,2019,Q4,2712244920426,352127969192,209084129875
2020-03-31,WTON,IDR,2020,Q1,1166351535391,132762595440,72662722436
2020-06-30,WTON,IDR,2020,Q2,702804558270,-6337701347,-36018705392
2020-09-30,WTON,IDR,2020,Q3,1086571966876,36958596325,18272753000
2020-12-31,WTON,IDR,2020,Q4,1847631231181,146139454523,73135722179
2021-03-31,WTON,IDR,2021,Q1,641777881464,1122059905,23195595675
2021-06-30,WTON,IDR,2021,Q2,617440552343,73531326884,14796210597
2021-09-30,WTON,IDR,2021,Q3,1218435635490,44459393488,16021735430
2021-12-31,WTON,IDR,2021,Q4,1835199174506,106306683373,28894471657
2022-03-31,WTON,IDR,2022,Q1,773193914907,76789066585,18018121221
2022-06-30,WTON,IDR,2022,Q2,1079901939659,92926707856,42706070374
2022-09-30,WTON,IDR,2022,Q3,1812764988170,123424247208,28483752014
2022-12-31,WTON,IDR,2022,Q4,2337927189431,224017950385,73708117148
2023-03-31,WTON,IDR,2023,Q1,916990771282,55561593192,6145235051
2023-06-30,WTON,IDR,2023,Q2,901220461581,62413224961,7450772849
2023-09-30,WTON,IDR,2023,Q3,1161848653449,131395606895,16002862818
2023-12-31,WTON,IDR,2023,Q4,1223110756628,71293567149,4527571738
2024-03-31,WTON,IDR,2024,Q1,1087122199998,61947133269,6058746779
2024-06-30,WTON,IDR,2024,Q2,1110848279652,77230795777,11840972247
2024-09-30,WTON,IDR,2024,Q3,1188493420000,92942034000,15567964000
2024-12-31,WTON,IDR,2024,Q4,1509560441000,135625106000,31536599000
2025-03-31,WTON,IDR,2025,Q1,871599460000,57724830000,1589771000
2025-06-30,WTON,IDR,2025,Q2,697702048000,33099494000,2758299000
2025-09-30,WTON,IDR,2025,Q3,950304306000,48688147000,4001962000
2025-12-31,WTON,IDR,2025,Q4,1066256441000,119179396000,31669469000
2026-03-31,WTON,IDR,2026,Q1,677037400000,47554564000,1501426000
