date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2018-03-31,YELO,IDR,2018,Q1,2582145375,1339890284,224821946
2018-06-30,YELO,IDR,2018,Q2,5869371885,2192318365,276446122
2018-09-30,YELO,IDR,2018,Q3,7477315133,1695493152,9540642
2018-12-31,YELO,IDR,2018,Q4,11481105281,6301345164,2474137460
2019-03-31,YELO,IDR,2019,Q1,9936429976,4119774781,943434789
2019-06-30,YELO,IDR,2019,Q2,11616340867,3942363157,384405799
2019-09-30,YELO,IDR,2019,Q3,7688970479,1861648435,-761118784
2019-12-31,YELO,IDR,2019,Q4,8254245123,4217692771,734986327
2020-03-31,YELO,IDR,2020,Q1,2153707377,-2549921043,-4933603493
2020-06-30,YELO,IDR,2020,Q2,-4411469,-4882901600,-5856178765
2020-09-30,YELO,IDR,2020,Q3,31140097,-5786437966,-6467907495
2020-12-31,YELO,IDR,2020,Q4,157751048298,14312929972,15620635304
2021-03-31,YELO,IDR,2021,Q1,1456496562,-5578382402,-6121741748
2021-06-30,YELO,IDR,2021,Q2,8318018732,-6250182462,-7508211559
2021-09-30,YELO,IDR,2021,Q3,3295159183,-5428590086,-6039214725
2021-12-31,YELO,IDR,2021,Q4,487009324371,32460453785,34153643704
2022-03-31,YELO,IDR,2022,Q1,113830511986,2266339089,1841873880
2022-06-30,YELO,IDR,2022,Q2,487146797839,9745704955,3273536775
2022-09-30,YELO,IDR,2022,Q3,455827313442,2169709455,638695000
2022-12-31,YELO,IDR,2022,Q4,510524749559,-10583589121,-5495872072
2023-03-31,YELO,IDR,2023,Q1,327830810821,6364094243,4643053500
2023-06-30,YELO,IDR,2023,Q2,210382859183,7401625435,811363894
2023-09-30,YELO,IDR,2023,Q3,109971240543,4744807556,558084412
2023-12-31,YELO,IDR,2023,Q4,122881705000,-8113382000,-6579178000
2024-03-31,YELO,IDR,2024,Q1,88168611551,4595757150,1326540556
2024-06-30,YELO,IDR,2024,Q2,88862140118,4509785357,760202561
2024-09-30,YELO,IDR,2024,Q3,43576298046,683291408,73310115
2024-12-31,YELO,IDR,2024,Q4,36930302000,-1196193000,-4061166000
2025-03-31,YELO,IDR,2025,Q1,23689327019,1299705030,-592713842
2025-06-30,YELO,IDR,2025,Q2,16637503011,1243236181,109067640
2025-09-30,YELO,IDR,2025,Q3,13539797270,621923600,240422149
2025-12-31,YELO,IDR,2025,Q4,10248089000,-1820774000,-21338149000
2026-03-31,YELO,IDR,2026,Q1,11279412284,440103662,-405171411
