date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-09-30,YPAS,IDR,2011,Q3,85998459288,10282252940,3452607064
2011-12-31,YPAS,IDR,2011,Q4,94022357521,10073896937,3407423393
2012-03-31,YPAS,IDR,2012,Q1,91593913298,10580244529,3474445199
2012-06-30,YPAS,IDR,2012,Q2,107034707561,13365453876,5557776335
2012-09-30,YPAS,IDR,2012,Q3,108296963371,11524155879,3843973447
2012-12-31,YPAS,IDR,2012,Q4,106896288379,13006444270,3596339271
2013-03-31,YPAS,IDR,2013,Q1,122075611034,13137513137,3334442159
2013-06-30,YPAS,IDR,2013,Q2,102019284478,15833453595,3901117812
2013-09-30,YPAS,IDR,2013,Q3,115693395991,15552626305,794664526
2013-12-31,YPAS,IDR,2013,Q4,99892297920,5484971968,-1808511694
2014-03-31,YPAS,IDR,2014,Q1,104475184383,8304502738,690269103
2014-06-30,YPAS,IDR,2014,Q2,119685267601,4337322139,-5315859844
2014-09-30,YPAS,IDR,2014,Q3,93447063196,4465054358,-4072840204
2014-12-31,YPAS,IDR,2014,Q4,103908660285,8476745120,-233545772
2015-03-31,YPAS,IDR,2015,Q1,87839826814,7667217132,-931871934
2015-06-30,YPAS,IDR,2015,Q2,71076578815,7474691747,-724148856
2015-09-30,YPAS,IDR,2015,Q3,54035062395,2947222142,-4411777440
2015-12-31,YPAS,IDR,2015,Q4,64451098603,4408098618,-3812983063
2016-03-31,YPAS,IDR,2016,Q1,85822826745,10217098974,1057933216
2016-06-30,YPAS,IDR,2016,Q2,66855930635,8688989904,-1343170000
2016-09-30,YPAS,IDR,2016,Q3,59491397949,1246268471,-6034852107
2016-12-31,YPAS,IDR,2016,Q4,66161732352,-54850367,-4612337613
2017-03-31,YPAS,IDR,2017,Q1,47364526864,-1414009968,-8918365744
2017-06-30,YPAS,IDR,2017,Q2,85954628208,-233682498,-8919849790
2017-09-30,YPAS,IDR,2017,Q3,79510677033,7266438571,-1417653247
2017-12-31,YPAS,IDR,2017,Q4,89761299345,12083576971,4755840361
2018-03-31,YPAS,IDR,2018,Q1,93818776917,11645284025,1040315355
2018-06-30,YPAS,IDR,2018,Q2,84971357635,4468505721,-4653456367
2018-09-30,YPAS,IDR,2018,Q3,119422652555,8170098901,-1221293397
2018-12-31,YPAS,IDR,2018,Q4,114620575421,5782867978,-4206891706
2019-03-31,YPAS,IDR,2019,Q1,107151459665,10169771336,-94343967
2019-06-30,YPAS,IDR,2019,Q2,80705575589,6565637596,-2238764100
2019-09-30,YPAS,IDR,2019,Q3,96725997822,7314136098,-916750992
2019-12-31,YPAS,IDR,2019,Q4,103535872083,15229789683,6738596797
2020-03-31,YPAS,IDR,2020,Q1,73188691699,11511390655,3348837135
2020-06-30,YPAS,IDR,2020,Q2,63223680459,4788766741,-3042798736
2020-09-30,YPAS,IDR,2020,Q3,79691949670,9564149378,2936315240
2020-12-31,YPAS,IDR,2020,Q4,87099347028,11780464663,5092504763
2021-03-31,YPAS,IDR,2021,Q1,83292063397,8461817213,1347574962
2021-06-30,YPAS,IDR,2021,Q2,83415365550,5642539532,-2158977732
2021-09-30,YPAS,IDR,2021,Q3,82255537078,2380437520,-3364694663
2021-12-31,YPAS,IDR,2021,Q4,90076057340,2963053286,-5308573066
2022-03-31,YPAS,IDR,2022,Q1,88210006451,5902251357,-3139965898
2022-06-30,YPAS,IDR,2022,Q2,82828572901,2536413814,-5493886362
2022-09-30,YPAS,IDR,2022,Q3,104917790235,8005930408,-968390460
2022-12-31,YPAS,IDR,2022,Q4,101129858881,11075929009,8190563608
2023-03-31,YPAS,IDR,2023,Q1,93993079158,11961200166,2201370388
2023-06-30,YPAS,IDR,2023,Q2,74789170874,5181783872,-1628380000
2023-09-30,YPAS,IDR,2023,Q3,86872072672,8573187586,2181164465
2023-12-31,YPAS,IDR,2023,Q4,90843330864,12562752663,5472817400
2024-03-31,YPAS,IDR,2024,Q1,79678212881,6985798422,788512190
2024-06-30,YPAS,IDR,2024,Q2,73761544117,1813266680,-4970234396
2024-09-30,YPAS,IDR,2024,Q3,100387732387,9950603924,2962438731
2024-12-31,YPAS,IDR,2024,Q4,90162596000,5674536000,-3112908000
2025-03-31,YPAS,IDR,2025,Q1,86863802303,3558685891,-4346570467
2025-06-30,YPAS,IDR,2025,Q2,85070015407,6524699512,735560470
2025-09-30,YPAS,IDR,2025,Q3,91064168842,8690329867,2863458930
2025-12-31,YPAS,IDR,2025,Q4,99405536575,13427630695,6248758340
2026-03-31,YPAS,IDR,2026,Q1,86418815228,5747403853,-715210540
