date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2023-12-31,YUPI,IDR,2023,Q4,611494228824,197859931477,119286145509
2024-03-31,YUPI,IDR,2024,Q1,772056419279,256885067650,154202216432
2024-06-30,YUPI,IDR,2024,Q2,768762963000,272219129000,159559820000
2024-09-30,YUPI,IDR,2024,Q3,869585273000,306031559000,170481587000
2024-12-31,YUPI,IDR,2024,Q4,632357351000,189543372000,144856406000
2025-03-31,YUPI,IDR,2025,Q1,699656247000,236812102000,167227018000
2025-06-30,YUPI,IDR,2025,Q2,732291223000,224412014000,146982234000
2025-09-30,YUPI,IDR,2025,Q3,823479668000,285951854000,158703027000
2025-12-31,YUPI,IDR,2025,Q4,680415573000,257211606000,140227427000
2026-03-31,YUPI,IDR,2026,Q1,763182015000,332909586000,177021756000
